Time [s], II, PLETH, RESP, V, AVR
0,0.14453,0.63636,0.04059,0.83529,0.74414
0.008,0.15625,0.65689,0.04059,0.83529,0.74023
0.016,0.15625,0.67351,0.04059,0.84118,0.74023
0.024,0.16016,0.68817,0.04059,0.8451,0.73438
0.032,0.16016,0.6999,0.04059,0.8451,0.73438
0.04,0.19531,0.7087,0.04182,0.87647,0.7207
0.048,0.31445,0.71652,0.04182,0.92549,0.66016
0.056,0.42969,0.72043,0.04428,0.88039,0.54492
0.064,0.50586,0.72336,0.04551,0.78039,0.42578
0.072,0.41016,0.72434,0.04797,0.57451,0.33008
0.08,0.080078,0.72532,0.050431,0.44902,0.50586
0.088,0.025391,0.72434,0.052891,0.76667,0.7793
0.096,0.13086,0.72239,0.054121,0.87059,0.79492
0.104,0.15625,0.71848,0.056581,0.88039,0.75977
0.112,0.17578,0.71359,0.059041,0.8902,0.73438
0.12,0.17969,0.70674,0.061501,0.89608,0.73047
0.128,0.18555,0.69892,0.062731,0.90196,0.72461
0.136,0.18945,0.68915,0.065191,0.90196,0.7207
0.144,0.20117,0.67742,0.067651,0.89608,0.7207
0.152,0.20508,0.66471,0.070111,0.90196,0.70898
0.16,0.20508,0.652,0.072571,0.90196,0.69922
0.168,0.21094,0.63636,0.075031,0.90196,0.69922
0.176,0.2207,0.62072,0.077491,0.90196,0.69922
0.184,0.2207,0.60411,0.079951,0.90196,0.69922
0.192,0.23047,0.58749,0.082411,0.90588,0.68555
0.2,0.23438,0.57185,0.084871,0.91176,0.67969
0.208,0.24609,0.55718,0.087331,0.90588,0.67578
0.216,0.25586,0.54448,0.089791,0.90588,0.66992
0.224,0.25977,0.53372,0.092251,0.91569,0.66406
0.232,0.26562,0.52395,0.094711,0.92157,0.66406
0.24,0.26562,0.51515,0.098401,0.92157,0.66406
0.248,0.27539,0.50635,0.10086,0.91569,0.66016
0.256,0.27539,0.50049,0.10332,0.91569,0.6543
0.264,0.27539,0.49365,0.10701,0.91569,0.6543
0.272,0.2793,0.48778,0.10947,0.92549,0.66406
0.28,0.2793,0.48094,0.11193,0.92549,0.66992
0.288,0.26562,0.4741,0.11439,0.94118,0.67578
0.296,0.24609,0.46725,0.11685,0.94118,0.68945
0.304,0.22461,0.46139,0.11931,0.94118,0.70898
0.312,0.20508,0.45455,0.12054,0.93725,0.7207
0.32,0.17969,0.4477,0.123,0.93137,0.73438
0.328,0.16602,0.44184,0.12423,0.92157,0.74414
0.336,0.15625,0.43597,0.12546,0.90588,0.74414
0.344,0.15039,0.43109,0.12669,0.89608,0.74414
0.352,0.15625,0.4262,0.12915,0.88627,0.73438
0.36,0.16992,0.42229,0.13038,0.87647,0.7207
