Time [s], RESP, PLETH, II, V, AVR, ABP
0,-0.29819,0.67253,-0.29492,0.72157,1.0216,44.785
0.008,-0.29819,0.69892,-0.33984,0.94706,1.0961,44.785
0.016,-0.29518,0.72336,-0.14844,1.0216,1.0059,44.98
0.024,-0.29518,0.74291,-0.089844,1.0373,0.97647,44.98
0.032,-0.29518,0.75758,-0.054688,1.0471,0.96078,44.98
0.04,-0.29518,0.76833,-0.054688,1.0569,0.96078,45.176
0.048,-0.29518,0.77419,-0.035156,1.051,0.94706,45.176
0.056,-0.29518,0.77517,-0.035156,1.0471,0.94706,45.176
0.064,-0.29518,0.77126,-0.025391,1.0471,0.94118,44.98
0.072,-0.29518,0.76442,-0.025391,1.0471,0.94118,44.98
0.08,-0.29217,0.75367,-0.019531,1.0471,0.93137,44.785
0.088,-0.29217,0.73998,-0.013672,1.0471,0.93137,44.785
0.096,-0.29217,0.72239,-0.0039062,1.0471,0.92157,44.589
0.104,-0.29217,0.70186,-0.013672,1.0471,0.92549,44.394
0.112,-0.29217,0.67937,0,1.0471,0.91569,44.198
0.12,-0.29217,0.65591,0,1.0412,0.91569,44.003
0.128,-0.29217,0.6305,0,1.0373,0.91569,43.612
0.136,-0.29217,0.60606,0.0058594,1.0471,0.91176,43.416
0.144,-0.28916,0.58162,0,1.0412,0.91569,43.025
0.152,-0.28916,0.55718,0.019531,1.0471,0.90588,42.829
0.16,-0.28916,0.53568,0.015625,1.0471,0.90196,42.438
0.168,-0.28916,0.51613,0.03125,1.0569,0.8902,41.851
0.176,-0.28916,0.49951,0.025391,1.051,0.90196,41.46
0.184,-0.28916,0.48192,0.035156,1.0608,0.89608,41.069
0.192,-0.28614,0.46432,0.03125,1.0725,0.90196,40.678
0.2,-0.28614,0.44868,0.050781,1.0765,0.88627,40.287
0.208,-0.28313,0.435,0.050781,1.0824,0.88627,39.896
0.216,-0.28313,0.42229,0.070312,1.0765,0.87647,39.7
0.224,-0.28012,0.41251,0.060547,1.0725,0.87059,39.309
0.232,-0.28012,0.40469,0.076172,1.0608,0.86667,39.309
0.24,-0.27711,0.39785,0.060547,1.0412,0.87647,39.505
0.248,-0.27711,0.39198,0.070312,1.0275,0.86667,40.091
0.256,-0.2741,0.38807,0.054688,1.0059,0.87647,41.46
0.264,-0.27108,0.38514,0.050781,0.99608,0.87647,44.003
0.272,-0.26807,0.38319,0.035156,0.98235,0.88627,48.11
0.28,-0.26506,0.38221,0.041016,0.97647,0.88627,52.999
0.288,-0.26205,0.38025,0.019531,0.96078,0.8902,58.475
0.296,-0.26205,0.37928,0.015625,0.95686,0.8902,64.146
0.304,-0.25904,0.37732,0,0.96667,0.90196,69.035
0.312,-0.25904,0.37634,0,0.95686,0.90196,73.338
0.32,-0.25904,0.37537,-0.0097656,0.96078,0.90588,76.662
0.328,-0.25602,0.37439,-0.0097656,0.95098,0.91569,79.009
0.336,-0.25602,0.37341,-0.0039062,0.95686,0.90588,80.378
0.344,-0.25602,0.37243,-0.013672,0.95098,0.91569,81.16
0.352,-0.25602,0.37048,-0.0039062,0.95686,0.90588,81.16
0.36,-0.25602,0.37048,-0.019531,0.95098,0.91569,80.769
0.368,-0.25904,0.37048,-0.0097656,0.95686,0.91176,79.987
0.376,-0.25904,0.3695,-0.019531,0.95098,0.91569,79.009
0.384,-0.25904,0.36852,-0.0097656,0.95098,0.91176,77.836
0.392,-0.26205,0.36559,-0.019531,0.95098,0.91569,76.271
0.4,-0.26205,0.36266,-0.0097656,0.95098,0.91176,74.511
0.408,-0.26506,0.35973,-0.025391,0.95098,0.91569,72.555
0.416,-0.26807,0.35679,-0.013672,0.95098,0.91176,70.404
0.424,-0.26807,0.35288,-0.025391,0.96078,0.91569,68.057
0.432,-0.27108,0.34897,0,0.96667,0.90196,65.711
0.44,-0.2741,0.34604,0.0097656,0.97059,0.8902,62.973
0.448,-0.27711,0.34311,0.03125,0.97647,0.88627,60.43
0.456,-0.27711,0.3392,0.041016,0.97059,0.87059,57.888
0.464,-0.28012,0.33627,0.044922,0.96078,0.86667,55.346
0.472,-0.28012,0.33333,0.03125,0.94706,0.87059,53.194
0.48,-0.28012,0.3304,0.019531,0.93725,0.87647,50.847
0.488,-0.28313,0.32551,0.0058594,0.93725,0.88627,49.087
0.496,-0.28313,0.3216,0.019531,0.95098,0.87647,47.523
0.504,-0.28313,0.31867,0.015625,0.96667,0.87059,46.154
0.512,-0.28313,0.31574,-0.019531,0.97059,0.91176,44.98
0.52,-0.28313,0.31574,-0.064453,0.97647,0.94118,44.198
0.528,-0.28313,0.31769,-0.074219,0.96667,0.94706,43.612
0.536,-0.28313,0.32454,-0.083984,0.97647,0.95098,43.22
0.544,-0.28313,0.33529,-0.080078,0.97059,0.94706,42.829
0.552,-0.28313,0.35093,-0.074219,0.97647,0.95098,42.829
0.56,-0.28313,0.36755,-0.089844,0.97647,0.96078,42.829
0.568,-0.28313,0.38807,-0.083984,0.97647,0.95686,42.829
0.576,-0.28313,0.41544,-0.09375,0.97647,0.96078,42.829
0.584,-0.28313,0.44673,-0.074219,0.97647,0.94706,43.025
0.592,-0.28313,0.48289,-0.025391,0.93137,0.92549,43.22
0.6,-0.28313,0.52004,0.054688,0.8451,0.87647,43.416
0.608,-0.28313,0.55816,0.089844,0.79608,0.84118,43.612
0.616,-0.28313,0.59531,-0.048828,0.70588,0.85686,43.807
0.624,-0.28313,0.61877,-0.17383,0.56471,0.88039,44.003
0.632,-0.28313,0.63245,-0.23438,0.5549,0.93725,44.198
0.64,-0.28313,0.652,-0.33008,0.81569,1.0667,44.198
0.648,-0.28313,0.67253,-0.33398,0.98627,1.0961,44.198
0.656,-0.28313,0.69013,-0.125,1.0216,0.99216,44.198
0.664,-0.28313,0.70283,-0.058594,1.0471,0.95686,44.394
0.672,-0.28313,0.70968,-0.064453,1.0569,0.95686,44.394
0.68,-0.28313,0.71554,-0.048828,1.0608,0.95098,44.394
0.688,-0.28313,0.71848,-0.044922,1.0569,0.94706,44.198
0.696,-0.28313,0.71848,-0.025391,1.0471,0.93725,44.198
0.704,-0.28313,0.71359,-0.035156,1.0569,0.94118,44.198
0.712,-0.28313,0.70479,-0.025391,1.0471,0.93137,44.003
0.72,-0.28012,0.69306,-0.029297,1.0471,0.93725,43.807
0.728,-0.28012,0.67742,-0.0097656,1.0412,0.91569,43.612
0.736,-0.28012,0.65787,0,1.0471,0.91569,43.416
0.744,-0.28012,0.63636,-0.013672,1.0471,0.92157,43.22
0.752,-0.27711,0.6129,-0.0039062,1.0471,0.91569,43.025
0.76,-0.27711,0.5914,-0.0097656,1.0471,0.91569,42.829
0.768,-0.27711,0.56989,0.0058594,1.0471,0.91176,42.438
0.776,-0.27711,0.54741,0,1.0412,0.91569,42.243
0.784,-0.27711,0.52297,0.015625,1.0373,0.90588,41.851
0.792,-0.27711,0.49951,0.019531,1.0471,0.91176,41.656
0.8,-0.27711,0.47703,0.025391,1.0471,0.90196,41.265
0.808,-0.27711,0.45552,0.019531,1.051,0.90588,40.874
0.816,-0.27711,0.435,0.035156,1.0608,0.89608,40.482
0.824,-0.27711,0.41642,0.03125,1.0608,0.89608,40.091
0.832,-0.27711,0.3998,0.044922,1.0725,0.88627,39.505
0.84,-0.2741,0.38514,0.050781,1.0725,0.88039,39.113
0.848,-0.2741,0.37146,0.070312,1.0725,0.86667,38.722
0.856,-0.27108,0.35973,0.070312,1.0765,0.87059,38.527
0.864,-0.27108,0.35093,0.070312,1.0667,0.86667,38.331
0.872,-0.26807,0.34409,0.064453,1.0471,0.86667,38.331
0.88,-0.26807,0.33822,0.076172,1.0314,0.86078,38.527
0.888,-0.26506,0.33236,0.054688,1.0216,0.87059,39.309
0.896,-0.26205,0.32845,0.070312,1.002,0.86667,40.874
0.904,-0.25904,0.32649,0.050781,0.99216,0.86667,43.807
0.912,-0.25602,0.32454,0.044922,0.97647,0.87647,47.914
0.92,-0.25602,0.32258,0.035156,0.97647,0.88039,52.999
0.928,-0.25301,0.3216,0.019531,0.96667,0.8902,58.279
0.936,-0.25,0.32063,0.015625,0.96078,0.8902,63.755
0.944,-0.24699,0.31867,0.019531,0.95098,0.8902,68.644
0.952,-0.24398,0.31769,0,0.96078,0.89608,72.947
0.96,-0.24398,0.31672,-0.0039062,0.95686,0.90196,76.076
0.968,-0.24096,0.31672,0,0.97059,0.90196,78.422
0.976,-0.23795,0.31574,-0.019531,0.96078,0.91176,79.791
0.984,-0.23795,0.31378,-0.0039062,0.96667,0.90196,80.574
0.992,-0.23494,0.31183,-0.013672,0.96078,0.91176,80.574
1,-0.23193,0.30987,0,0.96667,0.90196,79.987
1.008,-0.23193,0.30694,-0.0039062,0.95098,0.90588,79.205
1.016,-0.22892,0.30401,0,0.95686,0.90588,78.227
1.024,-0.22892,0.3001,-0.013672,0.96667,0.91176,76.662
1.032,-0.2259,0.29717,-0.0097656,0.95686,0.90588,75.098
1.04,-0.2259,0.29326,-0.019531,0.96078,0.91569,73.142
1.048,-0.22289,0.28935,-0.013672,0.95686,0.90588,70.991
1.056,-0.22289,0.28446,-0.013672,0.97059,0.91176,68.84
1.064,-0.22289,0.28055,0,0.96667,0.8902,66.297
1.072,-0.21988,0.27761,0.015625,0.97647,0.88627,63.755
1.08,-0.21988,0.2737,0.035156,0.98235,0.88039,61.213
1.088,-0.21687,0.26979,0.054688,0.97647,0.87059,58.475
1.096,-0.21687,0.26491,0.044922,0.96667,0.87059,55.932
1.104,-0.21386,0.26002,0.041016,0.94706,0.86667,53.39
1.112,-0.21084,0.25611,0.044922,0.93137,0.86667,51.043
1.12,-0.20783,0.25122,0.019531,0.94118,0.87647,48.892
1.128,-0.20482,0.24731,0.03125,0.95098,0.87647,46.936
1.136,-0.20181,0.24242,0.025391,0.96667,0.87647,45.372
