Time [s], RESP, PLETH, II, V, AVR
0,1,0.41642,0.20117,0.66471,0.7207
0.008,1,0.41153,0.20508,0.66471,0.70508
0.016,1,0.40665,0.2207,0.65098,0.68555
0.024,1,0.40078,0.23047,0.6451,0.66406
0.032,1,0.39492,0.2207,0.65098,0.66016
0.04,1,0.38905,0.21484,0.6451,0.66406
0.048,1,0.38416,0.2207,0.65098,0.66016
0.056,1,0.37928,0.21094,0.66078,0.66016
0.064,1,0.37537,0.21484,0.66471,0.66016
0.072,1,0.37243,0.20117,0.66471,0.66016
0.08,1,0.37048,0.20508,0.67647,0.66406
0.088,1,0.36657,0.19531,0.68039,0.66016
0.096,1,0.36364,0.18945,0.68627,0.66992
0.104,1,0.3607,0.18945,0.68039,0.67578
0.112,1,0.35679,0.19531,0.68627,0.66992
0.12,1,0.35288,0.19531,0.6902,0.67578
0.128,1,0.34897,0.18945,0.6902,0.66992
0.136,1,0.34506,0.20508,0.6902,0.66016
0.144,1,0.34018,0.22461,0.6902,0.64453
0.152,1,0.33529,0.23047,0.69608,0.63477
0.16,1,0.3304,0.24609,0.6902,0.61914
0.168,1,0.32649,0.25,0.6902,0.61914
0.176,1,0.32356,0.25977,0.69608,0.61523
0.184,1,0.3216,0.25977,0.7,0.61523
0.192,1,0.31965,0.25586,0.69608,0.61523
0.2,1,0.31769,0.26953,0.67647,0.61914
0.208,1,0.31574,0.22461,0.67059,0.6543
0.216,1,0.31476,0.20508,0.67647,0.66992
0.224,1,0.31574,0.19531,0.67059,0.67969
0.232,1,0.31769,0.17969,0.68039,0.68555
0.24,1,0.32258,0.18555,0.67059,0.68945
0.248,1,0.32845,0.18945,0.67647,0.68555
0.256,1,0.33724,0.17578,0.67059,0.70508
0.264,1,0.34702,0.17578,0.67059,0.69531
0.272,1,0.35679,0.17578,0.67059,0.70508
0.28,1,0.36755,0.17578,0.67059,0.69922
0.288,1,0.38123,0.16016,0.67647,0.70898
0.296,1,0.39589,0.16602,0.68039,0.70508
0.304,1,0.41251,0.13086,0.68039,0.70898
0.312,1,0.43011,0.099609,0.6902,0.69531
0.32,1,0.4477,0.23047,0.62941,0.57031
0.328,1,0.46432,0.5,0.4451,0.32031
0.336,1,0.47898,0.81445,0.18824,0.044922
0.344,1,0.49267,0.89453,0.052941,0.0058594
0.352,1,0.5044,0.58398,0.17843,0.47461
0.36,1,0.51417,0.20117,0.39412,0.80469
0.368,1,0.52004,0.041016,0.55098,0.86523
0.376,1,0.5259,0.060547,0.66078,0.81445
0.384,1,0.53079,0.076172,0.7098,0.78906
0.392,1,0.53568,0.089844,0.73529,0.7793
0.4,1,0.54057,0.099609,0.74118,0.76953
0.408,1,0.54643,0.099609,0.74118,0.77539
0.416,1,0.55132,0.11133,0.74118,0.76562
0.424,1,0.55523,0.10547,0.74118,0.76562
0.432,1,0.55914,0.11133,0.74118,0.76953
0.44,1,0.56403,0.10547,0.73529,0.77539
0.448,1,0.56598,0.11523,0.73529,0.75977
0.456,1,0.56696,0.11523,0.73529,0.76562
0.464,1,0.56598,0.11133,0.73529,0.76953
0.472,1,0.56305,0.11523,0.73529,0.76562
0.48,1,0.55914,0.12109,0.73137,0.77539
0.488,1,0.5523,0.11133,0.72549,0.76953
0.496,1,0.54545,0.11523,0.73137,0.77539
0.504,1,0.53666,0.10547,0.72549,0.7793
0.512,1,0.52688,0.11133,0.73137,0.7793
0.52,1,0.51808,0.11523,0.73137,0.7793
0.528,1,0.50733,0.11523,0.73137,0.7793
0.536,1,0.49756,0.11133,0.72549,0.78516
0.544,1,0.48778,0.10547,0.72549,0.78906
0.552,1,0.47898,0.11523,0.72549,0.78906
0.56,1,0.47214,0.12109,0.72549,0.79492
0.568,1,0.46725,0.13086,0.72157,0.78906
0.576,1,0.46237,0.14453,0.7098,0.78516
0.584,1,0.4565,0.16016,0.7,0.77539
0.592,1,0.45064,0.16992,0.6902,0.76562
0.6,1,0.44379,0.18945,0.68039,0.75
0.608,1,0.43597,0.20117,0.67059,0.74023
0.616,1,0.42815,0.21094,0.66471,0.7207
0.624,1,0.42033,0.21094,0.66078,0.70898
0.632,1,0.41349,0.21484,0.65098,0.70508
0.64,1,0.40762,0.20508,0.65098,0.69531
0.648,1,0.40274,0.21094,0.65098,0.68555
0.656,1,0.39785,0.20117,0.6549,0.68555
0.664,1,0.39296,0.20117,0.66078,0.68555
0.672,1,0.39003,0.19531,0.66471,0.68555
0.68,1,0.38514,0.18555,0.67059,0.68945
0.688,1,0.38025,0.17969,0.67647,0.69531
0.696,1,0.37537,0.18555,0.68627,0.69531
0.704,1,0.3695,0.17578,0.68627,0.70898
0.712,1,0.36461,0.17969,0.68627,0.70508
0.72,1,0.35973,0.17578,0.68627,0.70898
0.728,1,0.35582,0.17969,0.6902,0.69922
0.736,1,0.35191,0.17578,0.68627,0.70508
0.744,1,0.348,0.17969,0.68627,0.69531
0.752,1,0.34409,0.17578,0.68039,0.69531
0.76,1,0.34213,0.17969,0.68627,0.68945
0.768,1,0.34115,0.19531,0.6902,0.67969
0.776,1,0.33724,0.20508,0.6902,0.66406
0.784,1,0.33236,0.2207,0.6902,0.6543
0.792,1,0.32747,0.23047,0.6902,0.64453
0.8,1,0.32258,0.24609,0.69608,0.63477
0.808,1,0.31867,0.23438,0.69608,0.6543
0.816,1,0.31574,0.24023,0.68627,0.64062
0.824,0.98827,0.31378,0.23438,0.67059,0.6543
0.832,0.97556,0.31378,0.21484,0.66471,0.67969
0.84,0.95601,0.31769,0.19531,0.66471,0.70508
0.848,0.93646,0.32454,0.18945,0.66471,0.70898
0.856,0.91887,0.33529,0.17969,0.66471,0.70898
0.864,0.90127,0.34702,0.17578,0.66471,0.70898
0.872,0.88368,0.35875,0.16992,0.66471,0.7207
0.88,0.86706,0.38416,0.16992,0.66078,0.7207
0.888,0.84848,0.40274,0.16992,0.66078,0.72461
0.896,0.82991,0.42131,0.17578,0.66078,0.7207
0.904,0.81036,0.44868,0.17578,0.66078,0.71484
0.912,0.79081,0.46432,0.17578,0.66078,0.71484
0.92,0.77322,0.47898,0.16992,0.66078,0.71484
0.928,0.75464,0.49169,0.13477,0.66471,0.73047
0.936,0.73803,0.50342,0.11523,0.66078,0.70898
0.944,0.72141,0.51417,0.25586,0.5902,0.56445
0.952,0.70186,0.52297,0.49023,0.39412,0.32031
0.96,0.68231,0.53177,0.78516,0.12353,0.025391
0.968,0.65982,0.53959,0.86523,-0.015686,-0.019531
0.976,0.63734,0.54839,0.58008,0.12353,0.47461
0.984,0.61193,0.55718,0.25,0.33529,0.79883
0.992,0.58651,0.56598,0.11523,0.5098,0.84375
1,0.56012,0.57283,0.12109,0.64118,0.80469
1.008,0.53275,0.57869,0.10547,0.69608,0.79883
1.016,0.50635,0.58358,0.10547,0.72157,0.79492
1.024,0.48094,0.58651,0.10547,0.73137,0.79492
