Time [s], RESP, ABP, CVP, PLETH, II, V, AVR
0,1,85.072,21.395,0.30499,0.43529,0.57031,0.72157
0.008,1,83.703,20.965,0.30694,0.42941,0.57031,0.7098
0.016,1,82.529,20.769,0.30987,0.4451,0.56445,0.7098
0.024,1,81.356,20.847,0.31183,0.43529,0.57031,0.71569
0.032,1,80.183,21.004,0.31476,0.44902,0.56445,0.70588
0.04,1,79.009,21.121,0.31672,0.43922,0.57031,0.71569
0.048,1,77.836,21.082,0.31672,0.4451,0.56445,0.7098
0.056,1,76.271,20.691,0.31672,0.43922,0.57031,0.71569
0.064,1,74.707,20.261,0.31476,0.44902,0.57031,0.7098
0.072,1,73.142,20.026,0.31378,0.44902,0.58008,0.7098
0.08,1,71.186,20.026,0.31476,0.44902,0.58008,0.7098
0.088,1,69.426,20.339,0.31867,0.4451,0.58398,0.71569
0.096,1,67.666,20.691,0.32747,0.44902,0.58398,0.70588
0.104,0.99609,66.102,20.887,0.34409,0.4451,0.58984,0.7098
0.112,0.9912,64.928,20.847,0.37048,0.44902,0.58398,0.70588
0.12,0.97458,63.95,20.574,0.40665,0.4451,0.59961,0.7098
0.128,0.95797,63.168,20.261,0.45161,0.44902,0.59961,0.70588
0.136,0.94233,62.582,20.222,0.50049,0.46471,0.60547,0.70588
0.144,0.92669,61.995,20.456,0.55132,0.48431,0.61523,0.68627
0.152,0.91202,61.799,20.847,0.6002,0.49412,0.625,0.6902
0.16,0.89638,61.604,21.004,0.64321,0.5,0.62891,0.68627
0.168,0.8827,61.604,21.004,0.67937,0.51569,0.65039,0.67647
0.176,0.86804,61.799,20.847,0.70772,0.56471,0.67969,0.6451
0.184,0.85533,61.995,20.652,0.72532,0.57059,0.68555,0.63529
0.192,0.84262,62.19,20.691,0.73509,0.5549,0.67578,0.65098
0.2,0.83089,62.386,20.847,0.73998,0.5451,0.67578,0.6451
0.208,0.82014,62.582,20.965,0.73998,0.52941,0.67578,0.66078
0.216,0.80841,62.777,20.965,0.73607,0.50588,0.6543,0.67647
0.224,0.79668,62.777,20.769,0.72825,0.47451,0.63477,0.69608
0.232,0.78495,62.777,20.535,0.71652,0.44902,0.60938,0.7098
0.24,0.77322,62.582,20.456,0.70381,0.43922,0.59961,0.72157
0.248,0.76051,62.386,20.456,0.69013,0.43529,0.58984,0.71569
0.256,0.7478,62.19,20.456,0.67449,0.42941,0.58984,0.72549
0.264,0.73607,61.799,20.456,0.65982,0.43529,0.58984,0.72157
0.272,0.72336,61.408,20.339,0.64418,0.43529,0.58984,0.71569
0.28,0.71261,61.017,20.261,0.62952,0.42941,0.58398,0.71569
0.288,0.70186,60.626,20.339,0.61486,0.42549,0.58398,0.72549
0.296,0.69208,60.039,20.535,0.60215,0.43922,0.58984,0.71569
0.304,0.68231,59.648,20.691,0.58749,0.43922,0.5957,0.72157
0.312,0.67253,59.257,20.847,0.57283,0.44902,0.61523,0.70588
0.32,0.66276,58.67,20.769,0.55816,0.4451,0.66406,0.68039
0.328,0.652,58.279,20.652,0.54252,0.50588,0.78906,0.6
0.336,0.64223,57.692,20.535,0.5259,0.59608,0.97461,0.5
0.344,0.63343,57.301,20.456,0.50831,0.67059,1.1191,0.40392
0.352,0.62463,56.91,20.535,0.49071,0.5549,0.93945,0.49412
0.36,0.61584,56.323,20.769,0.47312,0.48039,0.71484,0.64118
0.368,0.60802,55.932,21.004,0.45455,0.43922,0.58984,0.7098
0.376,0.6002,55.541,21.278,0.43695,0.43529,0.56445,0.72157
0.384,0.5914,55.15,21.317,0.42131,0.42941,0.57031,0.72157
0.392,0.58358,54.759,21.278,0.40762,0.4451,0.57422,0.72157
0.4,0.57576,54.368,21.121,0.39394,0.44902,0.57422,0.72549
0.408,0.56794,53.977,21.199,0.38025,0.43922,0.58008,0.72549
0.416,0.56109,53.585,21.395,0.36755,0.44902,0.57422,0.72157
0.424,0.55425,53.194,21.63,0.35679,0.46078,0.58008,0.71569
0.432,0.54741,52.999,21.825,0.34702,0.46471,0.58008,0.70588
0.44,0.54154,52.608,21.903,0.3392,0.46078,0.58398,0.70588
0.448,0.53568,52.216,21.903,0.33236,0.47451,0.58008,0.70588
0.456,0.53079,52.021,21.943,0.32747,0.47059,0.58984,0.70588
0.464,0.52688,51.825,21.943,0.32356,0.47451,0.5957,0.7
0.472,0.52199,51.63,21.943,0.3216,0.47059,0.59961,0.70588
0.48,0.51711,51.434,21.943,0.31965,0.47451,0.59961,0.69608
0.488,0.51222,51.239,22.021,0.31867,0.47451,0.60547,0.7
0.496,0.50831,50.847,22.06,0.31769,0.48039,0.60547,0.6902
0.504,0.5044,50.652,22.138,0.31672,0.48431,0.61523,0.6902
0.512,0.50049,50.261,22.216,0.31574,0.49412,0.61914,0.68039
0.52,0.49756,50.065,22.256,0.31476,0.4902,0.61523,0.68039
0.528,0.49462,49.674,22.373,0.31281,0.50588,0.63477,0.66471
0.536,0.49169,49.283,22.451,0.31183,0.5098,0.6543,0.66471
0.544,0.48974,49.087,22.451,0.30987,0.50588,0.66406,0.6549
0.552,0.48778,48.892,22.373,0.30694,0.51961,0.67969,0.65098
0.56,0.48583,49.283,22.256,0.30401,0.53922,0.69922,0.62941
0.568,0.48289,51.434,22.06,0.30205,0.5451,0.71484,0.62941
0.576,0.48094,56.323,21.943,0.29912,0.55098,0.72461,0.61569
0.584,0.47898,63.95,21.903,0.29619,0.5549,0.73438,0.61569
0.592,0.47605,73.142,21.747,0.29423,0.55098,0.73047,0.6098
0.6,0.4741,81.943,21.708,0.2913,0.5451,0.72461,0.61569
0.608,0.47116,89.765,21.512,0.28837,0.5451,0.70508,0.62549
0.616,0.46823,96.61,21.395,0.28446,0.52549,0.68555,0.64118
0.624,0.46628,102.28,21.199,0.28152,0.5098,0.66016,0.6549
0.632,0.46237,106.39,20.965,0.27761,0.49412,0.63477,0.67059
0.64,0.45846,108.54,20.691,0.2737,0.47451,0.60547,0.68627
0.648,0.45357,108.74,20.456,0.27077,0.46471,0.58398,0.69608
0.656,0.44868,107.56,20.222,0.26686,0.44902,0.57031,0.70588
0.664,0.44379,105.61,20.026,0.26393,0.4451,0.56445,0.7098
0.672,0.43891,102.87,19.83,0.26002,0.43922,0.57031,0.71569
0.68,0.43402,100.33,19.713,0.25806,0.4451,0.56055,0.70588
0.688,0.42913,97.588,19.518,0.25611,0.43922,0.56055,0.71569
0.696,0.42131,95.046,19.283,0.25513,0.4451,0.56055,0.7098
0.704,0.41447,92.894,19.009,0.25318,0.43529,0.56055,0.72157
0.712,0.40469,90.743,18.774,0.2522,0.4451,0.56445,0.71569
0.72,0.39589,88.788,18.462,0.25122,0.43922,0.57031,0.72157
0.728,0.38612,87.027,18.188,0.25024,0.44902,0.57031,0.70588
0.736,0.37634,85.267,18.031,0.25024,0.4451,0.57031,0.71569
0.744,0.36559,83.703,17.836,0.25024,0.4451,0.57031,0.70588
