Time [s], RESP, PLETH, II, V, AVR, CVP, ART
0,0.087977,0.30303,0.44951,0.61914,0.72157,10.717,101.11
0.008,0.086022,0.29814,0.44951,0.625,0.72157,10.756,99.153
0.016,0.084066,0.29326,0.44951,0.625,0.72549,10.834,97.393
0.024,0.082111,0.28837,0.44951,0.625,0.72549,10.874,95.632
0.032,0.079179,0.28446,0.44458,0.62891,0.72549,10.952,93.872
0.04,0.076246,0.28152,0.44951,0.63477,0.72157,11.03,91.917
0.048,0.073314,0.27859,0.44951,0.63477,0.72157,11.069,90.157
0.056,0.071359,0.27468,0.44951,0.63477,0.72157,11.147,87.81
0.064,0.068426,0.26979,0.44458,0.63477,0.72549,11.265,85.463
0.072,0.066471,0.26393,0.43966,0.62891,0.72157,11.343,82.921
0.08,0.064516,0.25806,0.43966,0.62891,0.72549,11.499,80.574
0.088,0.063539,0.25611,0.44951,0.62891,0.72157,11.656,78.422
0.096,0.062561,0.25904,0.46059,0.64062,0.7098,11.812,76.662
0.104,0.061584,0.27175,0.4803,0.6543,0.69608,11.969,74.902
0.112,0.060606,0.29521,0.49507,0.66406,0.6902,12.086,73.729
0.12,0.059629,0.32942,0.50985,0.67578,0.67647,12.125,72.555
0.128,0.059629,0.37341,0.54557,0.68945,0.6549,12.203,71.773
0.136,0.059629,0.42522,0.56527,0.68555,0.64118,12.203,70.991
0.144,0.060606,0.47116,0.5702,0.66406,0.62941,12.086,70.404
0.152,0.061584,0.51417,0.56527,0.6543,0.62941,12.008,70.209
0.16,0.063539,0.55914,0.54557,0.64062,0.64118,11.969,70.209
0.168,0.065494,0.6002,0.51478,0.62891,0.66471,11.89,70.209
0.176,0.067449,0.63539,0.4803,0.61914,0.6902,11.812,70.404
0.184,0.070381,0.66373,0.44458,0.61523,0.72157,11.89,70.795
0.192,0.072336,0.68622,0.41995,0.60938,0.74118,11.89,71.382
0.2,0.074291,0.70381,0.4101,0.60547,0.7451,11.969,71.773
0.208,0.077224,0.71652,0.40517,0.60547,0.7451,12.008,71.773
0.216,0.079179,0.72532,0.40517,0.59961,0.75098,12.086,71.382
0.224,0.082111,0.73118,0.40517,0.59961,0.75098,12.086,70.795
0.232,0.084066,0.73314,0.4101,0.59961,0.75098,12.125,70.404
0.24,0.086999,0.73314,0.4101,0.59961,0.75098,12.125,70.209
0.248,0.088954,0.73021,0.4101,0.60547,0.75098,12.125,70.209
0.256,0.091887,0.7263,0.42488,0.61523,0.74118,12.125,70.209
0.264,0.093842,0.72043,0.46552,0.61914,0.69608,12.203,70.013
0.272,0.095797,0.71359,0.57512,0.59961,0.5902,12.321,69.622
0.28,0.098729,0.70479,0.7697,0.57422,0.40392,12.438,69.035
0.288,0.10068,0.69501,0.97537,0.5,0.2098,12.634,68.644
0.296,0.10264,0.68524,1.0099,0.39062,0.15882,12.829,68.057
0.304,0.10459,0.67351,0.75,0.33984,0.37059,13.025,67.471
0.312,0.10753,0.6608,0.50493,0.39453,0.61569,13.142,66.884
0.32,0.10948,0.64614,0.38547,0.49414,0.7451,13.259,66.297
0.328,0.11144,0.6305,0.36946,0.57031,0.77647,13.338,65.906
0.336,0.11437,0.61388,0.38054,0.61523,0.77647,13.455,65.319
0.344,0.1173,0.59726,0.39039,0.63477,0.77647,13.494,64.733
0.352,0.12023,0.58065,0.39532,0.64062,0.77059,13.494,64.342
0.36,0.12317,0.56207,0.39532,0.64453,0.77059,13.494,63.755
0.368,0.1261,0.54252,0.40025,0.6543,0.76667,13.455,63.364
0.376,0.12805,0.52395,0.4101,0.6543,0.76078,13.377,62.973
0.384,0.13099,0.50538,0.41502,0.6543,0.7549,13.259,62.386
0.392,0.13392,0.48778,0.41995,0.66016,0.75098,13.181,61.995
0.4,0.13587,0.47312,0.4298,0.66016,0.7451,13.142,61.604
0.408,0.13881,0.46041,0.43473,0.66016,0.74118,13.064,61.213
0.416,0.14174,0.44868,0.44458,0.66406,0.73529,12.947,60.821
0.424,0.14565,0.43988,0.45443,0.66992,0.73137,12.907,60.43
0.432,0.14858,0.43304,0.46059,0.66992,0.72157,12.907,60.039
0.44,0.15152,0.42815,0.47044,0.67578,0.71569,12.947,59.648
0.448,0.15445,0.42522,0.4803,0.67969,0.70588,13.025,59.061
0.456,0.15836,0.42229,0.5,0.68555,0.6902,13.025,58.67
0.464,0.16129,0.41935,0.5197,0.68945,0.67647,12.947,58.279
0.472,0.1652,0.4174,0.54557,0.69531,0.6549,12.751,57.888
0.48,0.16813,0.41544,0.57512,0.70508,0.63529,12.516,57.888
0.488,0.17204,0.41349,0.60468,0.70898,0.60588,12.321,58.475
0.496,0.17693,0.41056,0.63054,0.70898,0.58431,12.125,60.43
0.504,0.18084,0.40762,0.65025,0.70898,0.56471,11.969,64.146
0.512,0.18573,0.40469,0.6601,0.70898,0.5549,11.812,69.622
0.52,0.19062,0.40176,0.66502,0.70508,0.5549,11.695,76.076
0.528,0.1955,0.39785,0.64532,0.69922,0.56471,11.695,83.116
0.536,0.20039,0.39394,0.61946,0.68945,0.58431,11.656,90.352
0.544,0.2043,0.39003,0.58005,0.68555,0.61961,11.578,97.393
0.552,0.20821,0.38612,0.54557,0.67969,0.65098,11.46,103.85
0.56,0.21114,0.38221,0.51478,0.66992,0.67647,11.343,109.13
0.568,0.21505,0.37634,0.4803,0.66016,0.7,11.069,113.04
0.576,0.21701,0.37146,0.45443,0.64453,0.72157,10.874,115.38
0.584,0.21896,0.36559,0.43966,0.63477,0.73529,10.717,116.75
0.592,0.21994,0.35973,0.4298,0.62891,0.74118,10.561,116.95
0.6,0.21994,0.35386,0.42488,0.62891,0.74118,10.561,116.36
0.608,0.21896,0.348,0.42488,0.62891,0.7451,10.561,115.19
0.616,0.21799,0.34213,0.42488,0.62891,0.7451,10.639,113.62
0.624,0.21603,0.33627,0.42488,0.62891,0.7451,10.717,111.86
0.632,0.21408,0.3304,0.42488,0.625,0.74118,10.756,109.91
0.64,0.21114,0.32551,0.4298,0.62891,0.74118,10.834,107.95
0.648,0.20919,0.32258,0.43473,0.63477,0.73529,10.834,106
0.656,0.20528,0.31769,0.43966,0.63477,0.73529,10.834,104.24
0.664,0.20137,0.31281,0.44458,0.63477,0.73137,10.834,102.28
0.672,0.19648,0.30792,0.44951,0.63477,0.73137,10.834,100.52
0.68,0.19159,0.30303,0.44951,0.63477,0.73137,10.834,98.761
0.688,0.18768,0.29814,0.44951,0.63477,0.73137,10.874,97.001
0.696,0.1828,0.29423,0.44951,0.64062,0.72549,10.952,95.241
0.704,0.17889,0.28935,0.45443,0.64062,0.72549,11.03,93.481
0.712,0.17498,0.28446,0.45443,0.64453,0.72157,11.147,91.525
0.72,0.17204,0.27957,0.45443,0.64453,0.72157,11.343,89.374
0.728,0.16911,0.2737,0.45443,0.64453,0.72157,11.499,87.027
0.736,0.16716,0.26784,0.45443,0.64062,0.72157,11.773,84.681
0.744,0.1652,0.26393,0.45443,0.64062,0.72157,11.969,82.138
0.752,0.1652,0.261,0.45443,0.64062,0.72157,12.086,79.791
0.76,0.1652,0.26197,0.46552,0.64453,0.71569,12.203,77.64
0.768,0.16716,0.26882,0.4803,0.66016,0.70588,12.282,75.88
0.776,0.16911,0.28446,0.49507,0.66992,0.69608,12.282,74.511
0.784,0.17204,0.31183,0.50493,0.66992,0.68627,12.282,73.142
0.792,0.17498,0.34897,0.53448,0.68555,0.66471,12.282,71.969
0.8,0.17889,0.39589,0.56527,0.69922,0.6451,12.321,70.991
0.808,0.18377,0.44868,0.57512,0.68945,0.63529,12.399,70.404
0.816,0.19159,0.50147,0.5702,0.67578,0.62941,12.516,70.209
0.824,0.19941,0.55132,0.56034,0.66406,0.63529,12.634,70.209
0.832,0.20919,0.59629,0.53941,0.6543,0.65098,12.712,70.209
0.84,0.21994,0.6305,0.51478,0.64062,0.67647,12.712,70.209
0.848,0.23069,0.65591,0.4803,0.62891,0.70588,12.634,70.404
0.856,0.24145,0.67937,0.44951,0.625,0.72157,12.516,70.795
0.864,0.25318,0.69795,0.43473,0.61914,0.73137,12.438,71.382
0.872,0.26491,0.71261,0.42488,0.61914,0.73529,12.438,71.773
0.88,0.27957,0.72434,0.41995,0.61523,0.74118,12.438,71.773
0.888,0.29423,0.73216,0.41995,0.61523,0.74118,12.516,71.382
0.896,0.31281,0.73607,0.41995,0.61523,0.73529,12.595,70.795
0.904,0.3304,0.73803,0.42488,0.61523,0.73529,12.634,70.404
0.912,0.35093,0.73803,0.42488,0.61523,0.73529,12.751,70.209
0.92,0.37146,0.73509,0.4298,0.61914,0.73529,12.829,70.209
0.928,0.39296,0.73021,0.46059,0.63477,0.7098,12.947,70.013
0.936,0.41544,0.72434,0.52956,0.61914,0.6451,13.064,69.818
0.944,0.43597,0.7175,0.68473,0.59961,0.50588,13.142,69.426
0.952,0.4565,0.70968,0.9101,0.56055,0.3098,13.259,69.035
0.96,0.47605,0.6999,1.0505,0.46094,0.16863,13.377,68.449
0.968,0.4956,0.69013,0.92488,0.35547,0.24902,13.494,68.057
0.976,0.51808,0.6784,0.64532,0.33984,0.4902,13.651,67.471
0.984,0.54057,0.66569,0.44458,0.43945,0.68627,13.885,66.884
0.992,0.56598,0.65103,0.38547,0.53906,0.7549,14.081,66.493
1,0.59042,0.63441,0.38547,0.60547,0.76667,14.276,65.906
1.008,0.6129,0.61681,0.39532,0.63477,0.76667,14.315,65.515
1.016,0.63539,0.59824,0.40025,0.64453,0.76667,14.276,65.124
1.024,0.65689,0.57771,0.4101,0.6543,0.76078,14.198,64.537
1.032,0.67742,0.55718,0.41502,0.66016,0.7549,14.12,64.146
1.04,0.70088,0.53959,0.41995,0.66016,0.75098,14.12,63.755
1.048,0.72336,0.52297,0.4298,0.66406,0.7451,14.12,63.364
1.056,0.74878,0.50635,0.43473,0.66406,0.74118,14.198,62.973
1.064,0.77322,0.48974,0.44458,0.66992,0.73529,14.276,62.386
1.072,0.79863,0.47507,0.45443,0.66992,0.73137,14.315,61.995
1.08,0.82502,0.46334,0.46059,0.66992,0.72157,14.394,61.604
1.088,0.85044,0.45259,0.47537,0.67578,0.71569,14.511,61.213
1.096,0.87683,0.44379,0.48522,0.67969,0.70588,14.589,60.821
1.104,0.89932,0.43695,0.49507,0.67969,0.7,14.589,60.43
1.112,0.92278,0.43206,0.5,0.68555,0.6902,14.511,60.039
1.12,0.94428,0.42815,0.51478,0.68945,0.68627,14.315,59.648
1.128,0.96579,0.42522,0.52956,0.69531,0.67059,14.12,59.257
1.136,0.98338,0.42229,0.55049,0.69922,0.65098,14.003,58.866
1.144,1,0.42033,0.58005,0.70508,0.63529,13.885,58.67
1.152,1,0.41838,0.60468,0.70898,0.61569,13.963,58.866
1.16,1,0.41642,0.63547,0.71484,0.5902,13.963,60.43
1.168,1,0.41447,0.66502,0.72461,0.57059,14.003,63.755
1.176,1,0.41153,0.6798,0.72461,0.56078,14.081,69.622
1.184,1,0.4086,0.68473,0.7207,0.5549,14.081,77.054
1.192,1,0.40469,0.67488,0.71484,0.5549,14.003,85.267
1.2,1,0.40078,0.65025,0.70898,0.57059,13.963,93.677
1.208,1,0.39687,0.61946,0.70508,0.59608,13.885,101.89
1.216,1,0.39198,0.58498,0.68945,0.62549,13.885,108.93
1.224,1,0.3871,0.54557,0.67969,0.65098,13.963,114.6
1.232,1,0.38221,0.50985,0.66992,0.68039,14.081,118.51
1.24,1,0.3783,0.4803,0.66406,0.7,14.12,120.67
1.248,1,0.37439,0.46059,0.6543,0.71569,14.12,121.45
1.256,1,0.3695,0.44951,0.64453,0.72157,14.12,121.06
1.264,1,0.36364,0.43966,0.64062,0.73137,14.198,119.69
1.272,1,0.35875,0.43473,0.64062,0.73137,14.198,118.12
1.28,1,0.35288,0.43473,0.63477,0.73137,14.315,115.97
1.288,1,0.348,0.43473,0.63477,0.73137,14.433,113.82
1.296,1,0.34213,0.43473,0.63477,0.73137,14.511,111.86
1.304,1,0.33724,0.43966,0.63477,0.72549,14.589,109.52
1.312,1,0.33236,0.43966,0.63477,0.72549,14.628,107.56
1.32,1,0.32747,0.44458,0.63477,0.72157,14.746,105.41
1.328,1,0.32258,0.44951,0.63477,0.72157,14.824,103.26
1.336,1,0.31769,0.45443,0.64062,0.72157,14.941,101.11
1.344,1,0.31378,0.45443,0.64062,0.72157,14.941,99.544
1.352,1,0.31085,0.44951,0.64062,0.72157,15.02,97.979
1.36,1,0.30792,0.44951,0.64062,0.72157,14.941,96.415
1.368,1,0.30401,0.44951,0.64062,0.72157,14.941,94.85
1.376,1,0.3001,0.44951,0.64062,0.72157,14.941,93.09
1.384,1,0.29619,0.44458,0.64062,0.72157,15.02,91.134
1.392,1,0.29032,0.43966,0.64453,0.72157,15.059,88.983
1.4,1,0.28446,0.43966,0.64062,0.72549,15.137,86.636
1.408,1,0.27859,0.43966,0.64062,0.72549,15.215,84.094
1.416,1,0.2737,0.43473,0.64062,0.72549,15.254,81.747
1.424,1,0.2737,0.43966,0.64062,0.72157,15.254,79.596
1.432,1,0.28055,0.44951,0.64453,0.71569,15.332,77.64
1.44,1,0.29423,0.46552,0.66016,0.70588,15.372,75.88
1.448,1,0.31672,0.47537,0.66406,0.70588,15.45,74.707
1.456,1,0.35191,0.48522,0.66992,0.7,15.45,73.533
1.464,1,0.39785,0.50985,0.68945,0.68039,15.528,72.947
1.472,1,0.45161,0.53941,0.69922,0.66078,15.45,72.164
1.48,1,0.50733,0.55049,0.67969,0.65098,15.372,71.578
1.488,1,0.56109,0.54557,0.66016,0.6451,15.254,70.991
1.496,1,0.60899,0.53941,0.6543,0.6451,15.059,70.991
1.504,1,0.65005,0.5197,0.64062,0.66078,14.902,71.382
1.512,1,0.68328,0.49015,0.62891,0.68039,14.707,71.969
1.52,1,0.7087,0.45443,0.61914,0.7098,14.589,72.164
1.528,1,0.72727,0.42488,0.61523,0.73137,14.433,72.164
1.536,1,0.74096,0.4101,0.61523,0.74118,14.315,72.164
1.544,1,0.74878,0.40025,0.60938,0.75098,14.276,72.164
1.552,1,0.75367,0.39532,0.60547,0.75098,14.12,71.969
1.56,1,0.75562,0.39532,0.60547,0.75098,14.081,71.578
1.568,1,0.7566,0.39532,0.60938,0.75098,13.963,70.795
1.576,1,0.75464,0.39532,0.60547,0.75098,13.807,70.404
1.584,1,0.75171,0.39532,0.60547,0.75098,13.651,70.209
1.592,1,0.74585,0.40025,0.61914,0.7451,13.494,70.013
1.6,1,0.739,0.43966,0.61914,0.71569,13.377,69.818
1.608,1,0.73118,0.52956,0.60547,0.62941,13.377,69.231
1.616,1,0.72239,0.69951,0.58984,0.46471,13.455,68.644
1.624,1,0.71163,0.92488,0.5293,0.26471,13.572,68.057
1.632,1,0.70088,1.0049,0.42578,0.16863,13.69,67.471
1.64,1,0.68915,0.8202,0.34961,0.3098,13.885,66.884
1.648,1,0.67742,0.55049,0.375,0.56471,14.081,66.297
1.656,1,0.66373,0.39532,0.47461,0.72549,14.12,65.711
1.664,1,0.64907,0.34975,0.56055,0.77647,14.081,65.319
1.672,1,0.63148,0.35468,0.60938,0.78039,13.963,64.733
1.68,1,0.61388,0.35961,0.62891,0.78039,13.807,64.342
1.688,1,0.59433,0.36453,0.64062,0.78627,13.768,63.755
1.696,1,0.5738,0.36453,0.64453,0.78039,13.768,63.364
1.704,1,0.55327,0.37562,0.65039,0.77647,13.768,62.973
1.712,0.98827,0.53372,0.38547,0.6543,0.76667,13.768,62.386
1.72,0.97654,0.51417,0.39039,0.6543,0.76078,13.768,61.995
1.728,0.95992,0.49756,0.40025,0.6543,0.76078,13.69,61.408
1.736,0.9433,0.48289,0.4101,0.66016,0.7549,13.572,61.017
1.744,0.92864,0.47214,0.41502,0.66016,0.75098,13.338,60.626
1.752,0.91398,0.46041,0.42488,0.66406,0.74118,13.064,60.235
1.76,0.90127,0.45064,0.43473,0.66406,0.73529,12.947,59.844
1.768,0.88759,0.44282,0.44458,0.66406,0.73137,12.947,59.648
1.776,0.87488,0.43597,0.45443,0.66406,0.72157,12.947,59.257
1.784,0.86119,0.43109,0.46552,0.66992,0.7098,13.025,58.866
1.792,0.84848,0.4262,0.4803,0.67969,0.69608,13.064,58.279
1.8,0.8348,0.42326,0.5,0.68555,0.68627,13.064,58.083
1.808,0.82307,0.42033,0.52463,0.68945,0.66471,12.947,57.692
1.816,0.81134,0.4174,0.55049,0.69531,0.64118,12.829,57.497
1.824,0.80156,0.41447,0.58005,0.69922,0.61569,12.634,57.888
1.832,0.79081,0.41056,0.60961,0.69922,0.59608,12.438,59.648
1.84,0.78006,0.40762,0.63054,0.69922,0.57451,12.282,62.973
1.848,0.76833,0.40469,0.65025,0.69922,0.56078,12.086,68.84
1.856,0.7566,0.40078,0.65517,0.68945,0.5549,11.969,76.076
1.864,0.74585,0.39589,0.64039,0.68945,0.56078,11.89,84.094
1.872,0.73314,0.39101,0.61946,0.68555,0.58039,11.773,92.112
1.88,0.72141,0.38514,0.58498,0.67969,0.6098,11.695,99.739
1.888,0.70968,0.37928,0.54557,0.66992,0.64118,11.656,106.78
1.896,0.69697,0.37243,0.50985,0.66016,0.67059,11.656,112.26
1.904,0.68524,0.36559,0.47537,0.6543,0.69608,11.578,116.17
1.912,0.67351,0.35875,0.44458,0.64062,0.71569,11.499,118.32
1.92,0.66178,0.35191,0.42488,0.63477,0.73137,11.343,119.1
1.928,0.65005,0.34506,0.41502,0.625,0.74118,11.147,118.9
1.936,0.63636,0.34018,0.4101,0.61914,0.7451,11.03,117.93
1.944,0.62268,0.33529,0.40517,0.61914,0.7451,10.874,116.17
1.952,0.60802,0.3304,0.40517,0.61914,0.74118,10.874,114.21
1.96,0.59238,0.32454,0.4101,0.61523,0.74118,10.874,112.26
1.968,0.57771,0.31965,0.4101,0.61523,0.74118,10.874,110.1
1.976,0.56305,0.31378,0.4101,0.61523,0.74118,10.952,107.95
1.984,0.54839,0.30792,0.41502,0.61914,0.73529,11.069,105.8
1.992,0.53372,0.30303,0.41995,0.61914,0.73529,11.186,103.65
2,0.51613,0.29717,0.41995,0.61914,0.73529,11.265,101.5
2.008,0.49756,0.2913,0.42488,0.625,0.73137,11.265,99.739
2.016,0.47703,0.28641,0.4298,0.625,0.73137,11.186,98.37
2.024,0.4565,0.28152,0.4298,0.625,0.73137,11.147,97.001
2.032,0.435,0.27664,0.4298,0.625,0.73137,11.147,95.437
2.04,0.41349,0.27273,0.43473,0.625,0.73137,11.265,93.677
2.048,0.39101,0.27077,0.43473,0.625,0.73137,11.382,91.917
2.056,0.36852,0.26686,0.4298,0.625,0.73137,11.499,89.961
2.064,0.34897,0.26295,0.4298,0.625,0.73137,11.773,87.614
2.072,0.32942,0.25709,0.4298,0.625,0.73137,11.969,85.267
2.08,0.31085,0.25122,0.4298,0.61914,0.73137,12.086,82.725
2.088,0.29326,0.24633,0.4298,0.61914,0.73137,12.203,80.378
2.096,0.27664,0.24633,0.43473,0.61914,0.72549,12.282,78.227
2.104,0.26002,0.2522,0.44951,0.63477,0.7098,12.282,76.467
2.112,0.24438,0.26979,0.46552,0.64453,0.7,12.321,74.902
2.12,0.22874,0.29814,0.4803,0.65039,0.6902,12.321,73.533
2.128,0.21505,0.3392,0.5,0.66016,0.67647,12.282,72.555
2.136,0.20235,0.38221,0.53448,0.67969,0.65098,12.282,71.578
2.144,0.19062,0.42717,0.56034,0.67969,0.64118,12.282,70.795
2.152,0.17889,0.47898,0.55542,0.66016,0.62941,12.282,70.404
2.16,0.16911,0.53275,0.55049,0.64453,0.62941,12.321,70.209
2.168,0.15934,0.5826,0.52956,0.63477,0.64118,12.399,70.209
2.176,0.15054,0.62463,0.50493,0.625,0.66471,12.399,70.209
2.184,0.14272,0.65885,0.47044,0.60938,0.6902,12.321,70.209
2.192,0.1349,0.68622,0.4298,0.60547,0.71569,12.203,70.209
2.2,0.12708,0.70577,0.41502,0.59961,0.73529,12.086,70.209
2.208,0.12023,0.72043,0.40517,0.59961,0.74118,12.008,70.209
2.216,0.11339,0.73118,0.39532,0.59961,0.75098,11.969,70.209
2.224,0.1085,0.73803,0.39532,0.59961,0.75098,11.969,70.209
2.232,0.10362,0.74096,0.39532,0.5957,0.75098,11.969,70.209
2.24,0.098729,0.74096,0.39532,0.5957,0.75098,12.008,70.209
2.248,0.094819,0.739,0.39532,0.59961,0.75098,12.125,70.209
2.256,0.090909,0.73509,0.40025,0.59961,0.75098,12.282,70.209
2.264,0.086999,0.73021,0.41502,0.60938,0.73529,12.399,70.013
2.272,0.083089,0.72434,0.46552,0.60547,0.68627,12.516,69.818
2.28,0.080156,0.71652,0.58498,0.58984,0.57059,12.595,69.231
2.288,0.076246,0.70772,0.79557,0.56445,0.38039,12.634,68.84
2.296,0.073314,0.69892,0.98522,0.48047,0.18824,12.712,68.253
2.304,0.070381,0.68817,1.0049,0.37109,0.15882,12.829,67.862
2.312,0.067449,0.67644,0.69458,0.33594,0.4098,12.947,67.275
2.32,0.063539,0.66373,0.46059,0.40039,0.6451,13.064,66.688
