Time [s], RESP, PLETH, II, V, AVR, ART, CVP
0,0.25709,0.63636,0.4101,0.68945,0.75098,56.519,14.819
0.008,0.25709,0.61779,0.41502,0.68945,0.7451,55.932,14.715
0.016,0.25611,0.59922,0.41995,0.68945,0.74118,55.346,14.56
0.024,0.25513,0.57771,0.4298,0.68945,0.73529,54.954,14.456
0.032,0.25415,0.55523,0.43966,0.69531,0.73137,54.368,14.301
0.04,0.2522,0.53275,0.45443,0.69531,0.71569,53.977,14.197
0.048,0.25122,0.51026,0.47044,0.69922,0.70588,53.585,14.145
0.056,0.24927,0.48974,0.48522,0.69922,0.69608,52.999,14.197
0.064,0.24829,0.47019,0.50985,0.70508,0.68039,52.608,14.404
0.072,0.24633,0.45259,0.53941,0.70508,0.66078,52.021,14.663
0.08,0.24438,0.43695,0.5702,0.70898,0.63529,51.63,14.974
0.088,0.2434,0.42326,0.59975,0.70508,0.6098,51.043,15.181
0.096,0.24242,0.41251,0.61453,0.69922,0.59608,50.652,15.389
0.104,0.24145,0.40274,0.62438,0.68945,0.5902,50.261,15.13
0.112,0.24047,0.39589,0.63054,0.68555,0.5902,51.043,14.456
0.12,0.23949,0.39101,0.61453,0.67969,0.59608,53.585,13.472
0.128,0.23949,0.3871,0.5899,0.66992,0.6098,59.061,12.332
0.136,0.23851,0.38221,0.56034,0.66992,0.63529,67.471,11.503
0.144,0.23851,0.3783,0.52956,0.66406,0.66078,77.836,11.036
0.152,0.23754,0.37537,0.49507,0.66016,0.68039,88.201,10.933
0.16,0.23754,0.37146,0.47537,0.6543,0.7,97.784,11.244
0.168,0.23754,0.36852,0.45443,0.65039,0.71569,106.39,11.762
0.176,0.23754,0.36461,0.43966,0.64453,0.73137,113.62,12.176
0.184,0.23754,0.3607,0.4298,0.64453,0.73529,119.1,12.487
0.192,0.23754,0.35679,0.42488,0.64062,0.73529,122.03,12.487
0.2,0.23754,0.35191,0.42488,0.63477,0.73529,122.82,12.28
0.208,0.23754,0.34897,0.42488,0.63477,0.73529,122.03,11.865
0.216,0.23656,0.34604,0.42488,0.63477,0.73529,120.67,11.503
0.224,0.23656,0.34115,0.4298,0.63477,0.73137,118.71,11.192
0.232,0.23558,0.33627,0.43473,0.63477,0.72549,116.36,11.036
0.24,0.2346,0.33138,0.43473,0.63477,0.72549,113.82,11.036
0.248,0.23265,0.32649,0.43966,0.63477,0.72157,111.08,11.088
0.256,0.23167,0.32063,0.44951,0.64062,0.72157,108.34,11.244
0.264,0.22874,0.31476,0.44951,0.63477,0.72157,105.41,11.503
0.272,0.22678,0.30987,0.44951,0.64062,0.71569,102.67,11.813
0.28,0.22483,0.30401,0.44951,0.64062,0.71569,99.739,12.073
0.288,0.22287,0.29814,0.44951,0.64062,0.71569,97.001,12.28
0.296,0.22092,0.29228,0.44951,0.64062,0.72157,94.263,12.383
0.304,0.21896,0.28739,0.44951,0.64062,0.72157,91.721,12.487
0.312,0.21701,0.28348,0.45443,0.64062,0.71569,88.983,12.642
0.32,0.21505,0.27957,0.46552,0.6543,0.70588,86.05,12.85
0.328,0.2131,0.27566,0.4803,0.66406,0.6902,83.116,13.005
0.336,0.21114,0.26979,0.49015,0.66992,0.68627,80.183,13.316
0.344,0.21017,0.26393,0.51478,0.67578,0.67059,77.249,13.575
0.352,0.20821,0.25904,0.53941,0.67969,0.65098,74.12,13.834
0.36,0.20723,0.25611,0.55049,0.66406,0.6451,71.186,14.093
0.368,0.20723,0.25806,0.54557,0.64062,0.6451,68.84,14.404
0.376,0.20626,0.26686,0.53448,0.63477,0.65098,66.688,14.663
0.384,0.20528,0.28446,0.51478,0.625,0.66078,64.928,14.819
0.392,0.2043,0.31183,0.49015,0.61914,0.68039,63.364,14.819
0.4,0.20332,0.348,0.45443,0.625,0.70588,61.995,14.56
0.408,0.20235,0.38612,0.42488,0.625,0.73137,61.017,14.197
0.416,0.20137,0.42522,0.4101,0.625,0.74118,60.235,13.834
0.424,0.20137,0.47214,0.40025,0.625,0.75098,59.648,13.472
0.432,0.20137,0.52102,0.40025,0.625,0.75098,59.257,13.212
0.44,0.20137,0.56794,0.40025,0.625,0.7549,59.061,13.005
0.448,0.20137,0.60997,0.40025,0.61914,0.7549,59.061,13.005
0.456,0.20137,0.64712,0.40025,0.61914,0.75098,59.061,13.161
0.464,0.20137,0.67742,0.40517,0.625,0.75098,59.257,13.368
0.472,0.20137,0.70186,0.4298,0.62891,0.72549,59.452,13.782
0.48,0.20235,0.72043,0.50493,0.58398,0.6549,59.648,14.197
0.488,0.20235,0.73412,0.6798,0.51562,0.5,59.844,14.715
0.496,0.20332,0.74389,0.92488,0.375,0.28431,60.039,15.337
0.504,0.2043,0.74878,1.0246,0.21094,0.17451,60.235,15.959
0.512,0.20528,0.74976,0.8202,0.16602,0.32941,60.235,16.373
0.52,0.20626,0.74878,0.52463,0.29492,0.5902,60.235,16.684
0.528,0.20821,0.74487,0.38054,0.48438,0.74118,60.039,16.788
0.536,0.20919,0.73998,0.35468,0.60547,0.78039,59.844,16.788
0.544,0.21017,0.73314,0.36453,0.66016,0.78039,59.648,16.58
0.552,0.21114,0.72434,0.36946,0.67969,0.78039,59.257,16.321
0.56,0.2131,0.71359,0.37562,0.68555,0.78039,58.866,16.01
0.568,0.21408,0.70186,0.38054,0.68945,0.77647,58.475,15.648
0.576,0.21505,0.68817,0.38547,0.68945,0.77059,58.279,15.389
0.584,0.21701,0.67253,0.39532,0.68945,0.76078,57.692,15.181
0.592,0.21896,0.65494,0.40517,0.68945,0.7549,57.106,15.13
0.6,0.21994,0.63539,0.41502,0.68945,0.75098,56.715,15.078
0.608,0.2219,0.61681,0.41995,0.69531,0.7451,56.128,14.87
0.616,0.22287,0.59824,0.4298,0.69531,0.74118,55.541,14.663
0.624,0.22385,0.57674,0.43473,0.69922,0.73137,54.954,14.301
0.632,0.22581,0.55523,0.44951,0.69922,0.72157,54.368,14.093
0.64,0.22678,0.53177,0.45443,0.70508,0.71569,53.977,13.938
0.648,0.22874,0.51026,0.47044,0.70508,0.70588,53.585,13.99
