Time [s], RESP, PLETH, I, V, II, ABP
0,0.29521,0.40274,0.033333,0.66406,0.4803,70.404
0.008,0.29326,0.39785,0.039216,0.66406,0.49015,70.013
0.016,0.29228,0.39394,0.043137,0.66406,0.5,69.818
0.024,0.29032,0.39101,0.04902,0.66406,0.50493,69.426
0.032,0.29032,0.3871,0.058824,0.66406,0.51478,69.035
0.04,0.28935,0.38416,0.068627,0.66992,0.52956,68.84
0.048,0.28935,0.38025,0.084314,0.66992,0.54557,68.644
0.056,0.28935,0.37634,0.098039,0.66992,0.56034,69.035
0.064,0.28837,0.37243,0.11373,0.66992,0.57512,71.186
0.072,0.28837,0.36852,0.13922,0.66992,0.59975,75.88
0.08,0.28837,0.36461,0.15882,0.66992,0.61946,84.094
0.088,0.28837,0.3607,0.17843,0.66406,0.64039,95.632
0.096,0.28739,0.35679,0.2,0.66406,0.6601,110.3
0.104,0.28739,0.35386,0.21373,0.66406,0.67488,126.53
0.112,0.28739,0.34995,0.22353,0.66016,0.68473,142.37
0.12,0.28739,0.348,0.22353,0.66016,0.69458,156.06
0.128,0.28641,0.34604,0.21961,0.66016,0.68473,165.25
0.136,0.28641,0.34409,0.19412,0.66016,0.66995,169.36
0.144,0.28543,0.34115,0.16471,0.66992,0.64532,168.58
0.152,0.28446,0.3392,0.12353,0.67578,0.60468,164.08
0.16,0.28348,0.33822,0.088235,0.67969,0.56527,157.63
0.168,0.2825,0.33724,0.052941,0.68555,0.52463,150.78
0.176,0.28152,0.33724,0.029412,0.67969,0.49507,144.72
0.184,0.28055,0.33627,0.0078431,0.66992,0.46552,140.22
0.192,0.27957,0.33529,-0.0019608,0.66406,0.44458,137.48
0.2,0.27957,0.33431,-0.011765,0.6543,0.4298,135.92
0.208,0.27761,0.33236,-0.011765,0.64453,0.41995,135.33
0.216,0.27566,0.33236,-0.011765,0.64062,0.4101,135.14
0.224,0.2737,0.33138,-0.011765,0.64062,0.4101,134.75
0.232,0.27077,0.3304,-0.011765,0.64062,0.4101,134.35
0.24,0.26882,0.32942,-0.011765,0.64062,0.4101,133.57
0.248,0.26588,0.32747,-0.011765,0.63477,0.4101,132.99
0.256,0.26393,0.32454,-0.0058823,0.64062,0.4101,132.2
0.264,0.261,0.3216,-0.0058823,0.64062,0.4101,131.62
0.272,0.25904,0.31965,-0.0019608,0.64062,0.41502,131.42
0.28,0.25611,0.31867,0.0039216,0.64062,0.41995,131.03
0.288,0.25415,0.32258,-0.0019608,0.64062,0.42488,130.83
0.296,0.2522,0.33236,-0.0019608,0.64453,0.4298,130.25
0.304,0.24927,0.35093,-0.0019608,0.64453,0.43473,129.27
0.312,0.24731,0.37732,-0.0019608,0.64453,0.43473,127.9
0.32,0.24536,0.40665,-0.0019608,0.64453,0.43473,125.95
0.328,0.2434,0.43891,0.0039216,0.64453,0.43473,123.4
0.336,0.24145,0.47801,0.0039216,0.64453,0.43473,120.47
0.344,0.23949,0.52102,0.0039216,0.64453,0.43473,117.34
0.352,0.23851,0.56305,0.0039216,0.64062,0.43473,113.62
0.36,0.23754,0.6002,0.0039216,0.64062,0.43966,109.52
0.368,0.23656,0.6305,0.0039216,0.64062,0.43966,105.02
0.376,0.23558,0.65298,0.0078431,0.64062,0.43473,100.33
0.384,0.2346,0.66862,0.0039216,0.64062,0.43473,95.828
0.392,0.2346,0.6784,0.0039216,0.64062,0.43473,91.721
0.4,0.23363,0.68133,0.0078431,0.64062,0.43966,88.396
0.408,0.23363,0.68133,0.013725,0.64062,0.43966,86.05
0.416,0.23363,0.67742,0.013725,0.64062,0.44458,84.876
0.424,0.23363,0.67253,0.017647,0.65039,0.45443,84.485
0.432,0.23363,0.66764,0.023529,0.66016,0.47044,85.072
0.44,0.23363,0.66373,0.029412,0.66406,0.47537,86.245
0.448,0.23363,0.6608,0.033333,0.67578,0.49507,87.419
0.456,0.23363,0.65787,0.043137,0.67969,0.5197,88.592
0.464,0.23363,0.65396,0.052941,0.66992,0.52956,89.57
0.472,0.23363,0.652,0.062745,0.6543,0.52956,90.157
0.48,0.23363,0.65103,0.068627,0.64453,0.52463,90.352
0.488,0.23363,0.65005,0.062745,0.64062,0.51478,90.352
0.496,0.23363,0.65005,0.052941,0.62891,0.49015,90.157
0.504,0.23363,0.65005,0.033333,0.625,0.46059,89.57
0.512,0.23363,0.64907,0.013725,0.61914,0.43473,89.179
0.52,0.2346,0.64712,0.0078431,0.61914,0.41995,88.592
0.528,0.23363,0.64321,0.0078431,0.61914,0.4101,88.005
