Time [s], PLETH, RESP, II, V, AVR
0,0.59922,-0.056235,0.3451,0.59608,0.58039
0.008,0.59042,-0.06357,0.36471,0.5902,0.5549
0.016,0.5826,-0.070905,0.38431,0.58431,0.5451
0.024,0.57478,-0.075795,0.37451,0.6,0.56078
0.032,0.56696,-0.080685,0.4,0.58039,0.52941
0.04,0.56109,-0.085575,0.42941,0.57059,0.49412
0.048,0.55621,-0.090465,0.44902,0.57451,0.47451
0.056,0.55132,-0.095355,0.43922,0.56078,0.4549
0.064,0.54741,-0.10024,0.46471,0.56078,0.42549
0.072,0.54448,-0.10513,0.48039,0.55098,0.4
0.08,0.54252,-0.11002,0.50588,0.57059,0.37059
0.088,0.54057,-0.11491,0.5451,0.50588,0.32353
0.096,0.53861,-0.1198,0.6,0.48431,0.2549
0.104,0.53666,-0.12469,0.61961,0.46078,0.21373
0.112,0.53568,-0.12958,0.63529,0.44902,0.2
0.12,0.53372,-0.13447,0.65098,0.47059,0.18431
0.128,0.53275,-0.13692,0.68627,0.43529,0.16471
0.136,0.53177,-0.13936,0.6902,0.43529,0.14902
0.144,0.53177,-0.14181,0.69608,0.43922,0.15882
0.152,0.53177,-0.14425,0.67059,0.42941,0.19412
0.16,0.53177,-0.1467,0.62941,0.48039,0.23922
0.168,0.53177,-0.14914,0.58431,0.49412,0.3
0.176,0.53177,-0.15403,0.52549,0.52549,0.4
0.184,0.53177,-0.15648,0.46078,0.5549,0.46471
0.192,0.53177,-0.15648,0.42941,0.58039,0.51961
0.2,0.53177,-0.15892,0.3902,0.60588,0.58431
0.208,0.53177,-0.16137,0.33529,0.61961,0.65098
0.216,0.53177,-0.16381,0.3098,0.6098,0.68039
0.224,0.53079,-0.16381,0.29412,0.60588,0.6902
0.232,0.52884,-0.16626,0.26863,0.61569,0.70588
0.24,0.52688,-0.1687,0.26863,0.5902,0.7
0.248,0.52493,-0.17115,0.27843,0.60588,0.7098
0.256,0.52297,-0.17115,0.25882,0.61569,0.71569
0.264,0.52102,-0.17359,0.24902,0.65098,0.72157
0.272,0.51906,-0.17604,0.25882,0.67059,0.72157
0.28,0.51808,-0.17848,0.27451,0.6098,0.71569
0.288,0.51711,-0.18093,0.28431,0.61569,0.7
0.296,0.51515,-0.18093,0.3,0.60588,0.67059
0.304,0.5132,-0.18337,0.29412,0.61569,0.66471
0.312,0.51026,-0.18337,0.3,0.60588,0.68039
0.32,0.50831,-0.18582,0.31373,0.5902,0.66471
0.328,0.50538,-0.18826,0.31373,0.58431,0.6549
0.336,0.50342,-0.18826,0.3,0.5902,0.66078
0.344,0.50049,-0.19071,0.28431,0.5902,0.67059
0.352,0.49658,-0.19071,0.31961,0.57059,0.65098
0.36,0.49267,-0.19315,0.30392,0.58431,0.66078
0.368,0.48876,-0.19315,0.2902,0.5902,0.67059
0.376,0.48583,-0.19315,0.32353,0.57451,0.6451
0.384,0.48387,-0.19315,0.33922,0.58431,0.63529
0.392,0.48192,-0.19315,0.3451,0.59608,0.64118
0.4,0.47996,-0.19315,0.31961,0.5902,0.65098
0.408,0.47898,-0.19315,0.31961,0.6,0.66471
0.416,0.47898,-0.1956,0.33529,0.6098,0.67059
0.424,0.47996,-0.1956,0.31961,0.6,0.6451
0.432,0.48192,-0.19804,0.36471,0.63529,0.58431
0.44,0.48485,-0.19804,0.3902,0.56078,0.5549
0.448,0.48876,-0.19804,0.40392,0.55098,0.57059
0.456,0.4956,-0.20049,0.3902,0.5549,0.58039
0.464,0.5044,-0.20049,0.33922,0.56471,0.6098
0.472,0.51417,-0.20293,0.34902,0.55098,0.6
0.48,0.52493,-0.20293,0.3451,0.5451,0.60588
0.488,0.53763,-0.20538,0.33922,0.56471,0.61961
0.496,0.55034,-0.20782,0.34902,0.57059,0.62549
0.504,0.56305,-0.21027,0.33922,0.56078,0.61569
0.512,0.57576,-0.21271,0.33529,0.57059,0.6098
0.52,0.58847,-0.2176,0.32353,0.56471,0.62941
0.528,0.59726,-0.22005,0.3,0.58039,0.6549
0.536,0.60508,-0.22249,0.2451,0.70588,0.76667
0.544,0.6129,-0.22738,0.18824,0.76667,0.81176
0.552,0.61975,-0.22983,0.41961,0.57451,0.46078
0.56,0.62463,-0.23472,1.0216,0.16471,-0.18627
0.568,0.62757,-0.23716,1.3216,-0.041176,-0.48235
0.576,0.62952,-0.24205,0.87059,0.16863,0.1098
0.584,0.62854,-0.24694,0.47451,0.33922,0.68627
0.592,0.62757,-0.24939,0.31373,0.38039,0.7451
0.6,0.62463,-0.25428,0.29412,0.4902,0.68627
0.608,0.62072,-0.25672,0.33922,0.59608,0.62549
0.616,0.61486,-0.26161,0.33529,0.57451,0.61569
0.624,0.60802,-0.26406,0.31961,0.58431,0.61961
0.632,0.6002,-0.2665,0.32941,0.5902,0.6098
0.64,0.5914,-0.26895,0.3451,0.6,0.6
0.648,0.58162,-0.27139,0.36471,0.5902,0.56471
0.656,0.5738,-0.27384,0.38039,0.57451,0.55098
0.664,0.565,-0.27384,0.38431,0.57451,0.53922
0.672,0.55718,-0.27628,0.3902,0.58039,0.52941
0.68,0.55034,-0.27628,0.4,0.57451,0.51961
0.688,0.5435,-0.27628,0.40392,0.56471,0.50588
0.696,0.53861,-0.27873,0.42941,0.5451,0.48039
0.704,0.53372,-0.27873,0.46078,0.55098,0.43922
0.712,0.53079,-0.27873,0.47451,0.5549,0.43529
0.72,0.52688,-0.27628,0.49412,0.53922,0.4
0.728,0.52493,-0.27628,0.51961,0.51961,0.38039
0.736,0.52297,-0.27628,0.53922,0.50588,0.3451
0.744,0.52102,-0.27384,0.57451,0.49412,0.29412
0.752,0.52004,-0.27384,0.6098,0.47059,0.2451
0.76,0.52004,-0.27139,0.61961,0.44902,0.20392
0.768,0.51906,-0.27139,0.65098,0.42549,0.16863
0.776,0.51906,-0.26895,0.67059,0.4451,0.14902
0.784,0.51906,-0.2665,0.69608,0.44902,0.13333
0.792,0.51906,-0.26406,0.6902,0.43529,0.14314
