Time [s], RESP, ABP, PLETH, II, V, AVR, CVP
0,0.65298,98.37,0.43109,0.39412,0.37059,0.51961,16.78
0.008,0.66276,97.979,0.42913,0.3902,0.37059,0.52549,17.327
0.016,0.67253,97.393,0.42717,0.3902,0.37451,0.51961,17.757
0.024,0.68133,96.806,0.42717,0.3902,0.37451,0.52941,18.149
0.032,0.69013,96.415,0.4262,0.3902,0.38039,0.51961,18.383
0.04,0.69795,95.632,0.42326,0.38431,0.38039,0.52941,18.579
0.048,0.70577,94.85,0.42131,0.38431,0.38431,0.52549,18.774
0.056,0.71457,93.872,0.41838,0.3902,0.38039,0.52941,18.892
0.064,0.72239,92.894,0.41642,0.38431,0.38431,0.51961,19.009
0.072,0.73216,91.525,0.4174,0.3902,0.38039,0.51961,19.205
0.08,0.74096,90.157,0.41935,0.38431,0.38431,0.51961,19.4
0.088,0.75171,88.396,0.42229,0.38431,0.38039,0.51961,19.596
0.096,0.76149,86.245,0.42717,0.3902,0.38431,0.51569,19.713
0.104,0.77224,83.898,0.435,0.38431,0.38431,0.51569,19.713
0.112,0.78397,81.16,0.44477,0.38431,0.3902,0.51961,19.635
0.12,0.79374,78.422,0.45846,0.3902,0.3902,0.51569,19.518
0.128,0.8045,75.293,0.47703,0.39412,0.3902,0.51961,19.4
0.136,0.81427,72.164,0.49853,0.4,0.39412,0.5098,19.126
0.144,0.82502,69.231,0.52199,0.41569,0.40392,0.50588,18.814
0.152,0.83675,66.688,0.54545,0.42549,0.41569,0.5,18.462
0.16,0.84946,64.733,0.565,0.43922,0.40392,0.49412,18.031
0.168,0.86217,63.168,0.58162,0.43922,0.35882,0.4902,17.562
0.176,0.87586,62.19,0.59531,0.4451,0.33922,0.49412,17.132
0.184,0.88759,61.604,0.60508,0.43922,0.32941,0.4902,16.78
0.192,0.89932,61.213,0.61095,0.42549,0.33529,0.5,16.31
0.2,0.91007,61.017,0.61486,0.4098,0.32941,0.4902,15.958
0.208,0.92082,61.017,0.61681,0.4,0.33922,0.49412,15.528
0.216,0.93353,61.408,0.61779,0.4,0.36471,0.50588,15.137
0.224,0.94526,61.995,0.61779,0.38431,0.38039,0.51961,14.824
0.232,0.95894,62.777,0.61584,0.37451,0.3902,0.52941,14.589
0.24,0.97263,63.559,0.6129,0.35882,0.3902,0.53529,14.433
0.248,0.98631,64.537,0.60997,0.3549,0.39412,0.53922,14.315
0.256,1,65.319,0.60606,0.35882,0.39412,0.53922,14.276
0.264,1,65.906,0.60215,0.3549,0.40392,0.53922,14.198
0.272,1,66.493,0.59824,0.32353,0.46471,0.5549,14.198
0.28,1,66.884,0.59433,0.29412,0.56471,0.57059,14.276
0.288,1,66.884,0.5914,0.40392,0.51961,0.48431,14.433
0.296,1,66.884,0.58749,0.71569,0.062745,0.29412,14.824
0.304,1,66.493,0.58456,0.93725,-0.40196,0.15882,15.372
0.312,1,66.102,0.58162,1.0216,-0.50196,0.12941,16.154
0.32,1,65.515,0.57674,0.72549,-0.42745,0.38039,16.936
0.328,1,64.733,0.57087,0.50588,-0.096078,0.51961,17.64
0.336,1,63.95,0.565,0.4098,0.17843,0.5451,18.149
0.344,1,63.168,0.55816,0.35882,0.34902,0.5549,18.344
0.352,1,62.386,0.55425,0.33529,0.42941,0.5549,18.344
0.36,1,61.604,0.55132,0.32353,0.46078,0.5549,18.266
0.368,1,60.821,0.54839,0.32353,0.47059,0.5549,18.149
0.376,1,60.039,0.54448,0.31961,0.47451,0.56471,18.07
0.384,1,59.257,0.53959,0.31961,0.47451,0.56078,18.07
0.392,1,58.475,0.53372,0.31373,0.47451,0.56471,18.07
0.4,1,57.888,0.52688,0.31373,0.47059,0.56471,18.188
0.408,1,57.301,0.52004,0.31961,0.47451,0.57059,18.344
0.416,1,56.715,0.51124,0.32353,0.47059,0.5549,18.383
0.424,1,56.128,0.50244,0.32353,0.47059,0.5549,18.383
0.432,1,55.737,0.49267,0.31961,0.46471,0.56078,18.344
0.44,1,55.346,0.48387,0.32353,0.46078,0.56078,18.266
0.448,1,54.954,0.47605,0.32941,0.46078,0.56078,18.383
0.456,1,54.563,0.46921,0.32941,0.4549,0.56078,18.579
0.464,1,54.172,0.46334,0.33529,0.44902,0.5549,18.892
0.472,1,53.781,0.45748,0.33922,0.4451,0.5549,19.322
0.48,1,53.39,0.45259,0.3451,0.44902,0.55098,19.752
0.488,1,53.194,0.44966,0.34902,0.43529,0.55098,20.026
0.496,1,52.803,0.44868,0.34902,0.43922,0.5451,20.026
0.504,1,52.608,0.44868,0.34902,0.43529,0.5451,19.713
0.512,1,52.216,0.44868,0.34902,0.43529,0.53922,19.087
0.52,1,51.825,0.44868,0.3549,0.43529,0.53922,18.344
0.528,1,51.63,0.44868,0.3549,0.43529,0.53529,17.562
0.536,1,51.434,0.44868,0.36471,0.43529,0.52941,17.014
0.544,1,51.825,0.44868,0.36471,0.43529,0.53529,16.506
0.552,1,53.585,0.44868,0.37451,0.42941,0.52941,16.193
0.56,1,57.888,0.44868,0.37451,0.42941,0.52941,15.88
0.568,1,65.906,0.44868,0.38431,0.41961,0.51569,15.528
0.576,1,77.249,0.44868,0.4,0.41961,0.5098,15.137
