Time [s], PLETH, ABP, RESP, II, V, AVR
0,0.74585,55.932,0.1349,0.41569,0.38431,0.47059
0.008,0.73998,55.541,0.14174,0.40392,0.3902,0.48039
0.016,0.73021,55.541,0.14858,0.4,0.3902,0.48039
0.024,0.7175,55.541,0.15543,0.40392,0.4,0.48431
0.032,0.70283,55.737,0.16227,0.41569,0.39412,0.48039
0.04,0.68622,55.932,0.16813,0.4,0.40392,0.5
0.048,0.66862,56.128,0.174,0.38431,0.3902,0.51569
0.056,0.65005,56.128,0.17889,0.37451,0.39412,0.52941
0.064,0.6305,56.128,0.18377,0.36471,0.38431,0.53922
0.072,0.61388,56.128,0.18671,0.34902,0.3902,0.5549
0.08,0.59726,56.128,0.19062,0.3451,0.38039,0.5549
0.088,0.57967,56.519,0.19355,0.33529,0.38039,0.56078
0.096,0.56305,56.715,0.19648,0.32941,0.38431,0.56471
0.104,0.54643,56.91,0.19844,0.33529,0.37451,0.56471
0.112,0.52981,56.715,0.20137,0.3451,0.3902,0.57059
0.12,0.51417,56.519,0.20332,0.3451,0.40392,0.56471
0.128,0.49951,56.323,0.2043,0.34902,0.4098,0.57451
0.136,0.48485,56.323,0.20528,0.34902,0.40392,0.56471
0.144,0.47116,56.128,0.20528,0.34902,0.4098,0.57451
0.152,0.45748,55.737,0.20528,0.3451,0.3902,0.57451
0.16,0.44379,55.346,0.2043,0.33529,0.36471,0.58431
0.168,0.42913,55.15,0.20235,0.32353,0.33529,0.57451
0.176,0.4174,55.15,0.19941,0.3098,0.33922,0.5902
0.184,0.40665,55.15,0.1955,0.31373,0.33922,0.58431
0.192,0.39394,55.15,0.19257,0.3098,0.34902,0.59608
0.2,0.38221,55.15,0.18866,0.30392,0.33922,0.58039
0.208,0.37048,54.759,0.18573,0.3098,0.34902,0.58039
0.216,0.35875,54.172,0.1828,0.31373,0.33922,0.57451
0.224,0.348,53.585,0.17986,0.31961,0.3451,0.57059
0.232,0.33724,53.194,0.17693,0.32353,0.33922,0.56078
0.24,0.32747,52.803,0.174,0.33529,0.34902,0.56078
0.248,0.31867,52.803,0.17009,0.32941,0.33922,0.5549
0.256,0.30987,52.608,0.16618,0.32353,0.33922,0.53922
0.264,0.30205,52.216,0.16325,0.5098,0.30392,0.43529
0.272,0.29717,51.63,0.16031,0.85686,0.30392,0.2451
0.28,0.29228,51.043,0.15738,0.98235,0.29412,0.17451
0.288,0.28935,50.847,0.15543,0.87059,0.4,0.2549
0.296,0.28641,50.652,0.15347,0.42941,0.53922,0.52549
0.304,0.28446,50.652,0.15249,0.22941,0.56078,0.6451
0.312,0.28348,50.261,0.15347,0.29412,0.4549,0.5902
0.32,0.2825,49.87,0.15347,0.32353,0.38431,0.57059
0.328,0.28348,49.283,0.15543,0.31373,0.3549,0.57059
0.336,0.28446,48.892,0.15738,0.30392,0.33922,0.57451
0.344,0.28641,48.696,0.16129,0.2902,0.33529,0.59608
