Time [s], ABP, RESP, PLETH, V, II, AVR, CVP
0,77.054,0.14565,0.64321,0.46477,0.62524,0.4002,16.494
0.008,79.009,0.15249,0.64614,0.46477,0.63503,0.3953,16.104
0.016,80.378,0.15934,0.64809,0.46967,0.63503,0.3953,15.714
0.024,81.356,0.16716,0.64712,0.46967,0.63014,0.3953,15.325
0.032,81.747,0.17498,0.64516,0.46967,0.62524,0.4002,14.935
0.04,81.943,0.18377,0.64125,0.46967,0.62524,0.4002,14.545
0.048,81.552,0.19355,0.63441,0.47456,0.62524,0.40509,14.286
0.056,80.965,0.20137,0.62659,0.47456,0.63503,0.4002,14.156
0.064,80.183,0.21017,0.61779,0.46477,0.63503,0.4002,13.896
0.072,79.009,0.21896,0.60899,0.45499,0.63503,0.4002,13.896
0.08,77.836,0.22776,0.59824,0.44521,0.63503,0.4002,14.156
0.088,76.662,0.23851,0.58651,0.44031,0.63992,0.38454,14.416
0.096,75.293,0.24829,0.57478,0.40998,0.67025,0.33464,15.195
0.104,74.12,0.26002,0.56403,0.35519,0.77495,0.27006,15.974
0.112,72.751,0.27273,0.55425,0.30528,0.9501,0.22994,17.013
0.12,71.578,0.28348,0.54545,0.27984,1.001,0.24951,18.052
0.128,70.404,0.29521,0.53959,0.30528,1.001,0.34442,18.831
0.136,69.231,0.30694,0.5347,0.38454,0.7456,0.50489,19.221
0.144,68.253,0.31769,0.53177,0.46477,0.45499,0.63503,19.221
0.152,67.08,0.33138,0.52981,0.5,0.32975,0.67025,18.961
0.16,66.102,0.34506,0.52786,0.5,0.37476,0.5998,18.442
0.168,65.319,0.3607,0.52688,0.49511,0.48532,0.50489,17.922
0.176,64.537,0.37634,0.5259,0.49511,0.55969,0.44031,17.662
0.184,63.95,0.39492,0.52395,0.49511,0.59491,0.4002,17.403
0.192,63.168,0.41349,0.52297,0.49022,0.5998,0.3953,17.662
0.2,62.777,0.43304,0.52199,0.49022,0.6047,0.38943,17.922
0.208,62.386,0.45259,0.52004,0.49511,0.61057,0.38943,18.571
0.216,61.995,0.47019,0.51711,0.49022,0.6047,0.38943,19.091
0.224,61.604,0.48876,0.51417,0.48532,0.5998,0.3953,19.61
0.232,61.408,0.50635,0.51124,0.48532,0.6047,0.3953,20.13
0.24,61.408,0.52297,0.50733,0.48043,0.61057,0.3953,20.519
0.248,61.213,0.54057,0.50342,0.48043,0.6047,0.3953,20.779
0.256,61.213,0.55914,0.49951,0.47456,0.61057,0.3953,20.909
0.264,61.408,0.57674,0.49658,0.46967,0.61546,0.38454,21.169
0.272,61.408,0.59531,0.49267,0.46477,0.62035,0.37965,21.558
0.28,61.604,0.61193,0.48876,0.46477,0.62524,0.37965,22.208
0.288,61.799,0.62854,0.48387,0.46477,0.63503,0.37476,22.987
0.296,61.995,0.64321,0.47898,0.46477,0.63992,0.36497,23.896
0.304,61.995,0.65787,0.47507,0.46477,0.64481,0.36008,24.805
0.312,62.19,0.67253,0.47019,0.45988,0.65558,0.35029,25.714
0.32,62.386,0.68817,0.4653,0.45499,0.67025,0.33464,26.494
0.328,62.386,0.70283,0.46041,0.45499,0.68493,0.31996,27.273
0.336,62.582,0.71848,0.4565,0.45499,0.68982,0.31018,27.532
0.344,62.582,0.73314,0.45357,0.45499,0.68982,0.31018,27.403
0.352,62.582,0.74878,0.44868,0.4501,0.68982,0.31507,27.013
0.36,62.582,0.76246,0.44379,0.4501,0.68982,0.31996,26.234
0.368,62.386,0.77713,0.43891,0.45499,0.68493,0.32975,25.325
0.376,62.386,0.78983,0.435,0.45499,0.67025,0.34442,24.416
0.384,62.19,0.80254,0.42913,0.4501,0.65558,0.35519,23.896
0.392,61.995,0.81427,0.42424,0.4501,0.63503,0.36986,23.636
0.4,62.19,0.826,0.41935,0.45988,0.62035,0.38943,23.636
0.408,62.582,0.83773,0.41642,0.46477,0.6047,0.4002,23.896
0.416,63.559,0.85044,0.41349,0.47456,0.59491,0.41487,24.156
0.424,65.515,0.86315,0.41056,0.48043,0.59002,0.41977,24.416
0.432,68.449,0.87586,0.40665,0.48532,0.59002,0.42466,24.545
0.44,72.36,0.88759,0.40274,0.49511,0.59002,0.42466,24.416
0.448,77.249,0.89932,0.39883,0.49511,0.59002,0.42466,24.286
