Time [s], RESP, PLETH, II, V, AVR, CVP
0,0,0.62366,1.4688,0.058824,-0.20508,18.119
0.008,0,0.62757,1.5,-0.26275,-0.35938,18.806
0.016,0,0.6305,1.3945,-0.45294,-0.074219,19.314
0.024,0,0.63148,0.70898,0.0078431,0.32422,19.619
0.032,0,0.63245,0.15039,0.4098,0.65039,19.619
0.04,0,0.63245,0.0058594,0.59608,0.75391,19.314
0.048,0,0.63245,-0.0097656,0.64118,0.7793,18.806
0.056,0,0.6305,0.044922,0.68039,0.72461,18.119
0.064,0,0.62854,0,0.68627,0.76562,17.51
0.072,0,0.62463,0.03125,0.6902,0.76953,17.078
0.08,0,0.62072,0.050781,0.68039,0.75,16.747
0.088,0,0.61584,0,0.68627,0.76562,16.696
0.096,0,0.60899,0.025391,0.69608,0.75391,16.874
0.104,0,0.60313,0.019531,0.68039,0.75,17.255
0.112,0,0.59629,0.041016,0.69608,0.75391,17.687
0.12,0,0.59042,0.054688,0.67059,0.73438,18.196
0.128,0,0.58358,0.035156,0.6902,0.74414,18.577
0.136,0,0.57674,0.070312,0.7,0.71484,18.806
0.144,0,0.57087,0.044922,0.69608,0.73438,19.136
0.152,0,0.565,0.070312,0.6902,0.73047,19.39
0.16,0,0.55914,0.035156,0.71569,0.75391,19.695
0.168,0,0.55425,0.064453,0.70588,0.70898,20
0.176,0,0.55034,0.089844,0.73529,0.68945,20.305
0.184,0,0.54643,0.050781,0.7451,0.75,20.635
0.192,0,0.5435,0.060547,0.74118,0.73438,20.813
0.2,0,0.54154,0.080078,0.7451,0.71484,20.813
0.208,0,0.53959,0.089844,0.74118,0.70508,20.686
0.216,0,0.53861,0.064453,0.76078,0.73438,20.432
0.224,0,0.53763,0.041016,0.76667,0.74023,20.254
0.232,0,0.53666,0.035156,0.76078,0.73438,20
0.24,0,0.53666,0.064453,0.77059,0.7207,19.746
0.248,0,0.53763,0.0058594,0.76667,0.75,19.568
0.256,0,0.53861,0.0097656,0.7549,0.75977,19.39
0.264,0,0.53959,-0.0097656,0.72549,0.76953,19.314
0.272,0,0.53959,0.0097656,0.72157,0.74414,19.314
0.28,0,0.54057,0.015625,0.6902,0.75,19.441
0.288,0,0.54057,0.044922,0.68039,0.73047,19.568
0.296,0,0.53959,0.054688,0.65098,0.74414,19.746
0.304,0,0.53861,0.125,0.60588,0.66992,20
0.312,0,0.53666,0.099609,0.58039,0.69531,20.178
0.32,0,0.5347,0.16016,0.56078,0.6543,20.305
0.328,0,0.53177,0.16016,0.56471,0.65039,20.508
0.336,0,0.52884,0.18555,0.55098,0.6543,20.635
0.344,0,0.52688,0.21094,0.5451,0.62891,20.813
0.352,0,0.52493,0.27539,0.53529,0.58984,20.889
0.36,0,0.52395,0.2207,0.52941,0.62891,20.94
0.368,0,0.52199,0.21094,0.5451,0.6543,20.813
0.376,0,0.52199,0.21484,0.52941,0.62891,20.635
0.384,0,0.52102,0.24023,0.52549,0.61523,20.254
0.392,0,0.52199,0.24023,0.53922,0.61523,19.949
0.4,0,0.52297,0.21484,0.52941,0.64453,19.619
0.408,0,0.52297,0.26562,0.56078,0.61523,19.39
0.416,0,0.52297,0.19531,0.55098,0.64062,19.263
0.424,0,0.52297,0.20508,0.56471,0.65039,19.136
0.432,0,0.52297,0.16602,0.5549,0.65039,19.187
0.44,0,0.52297,0.21094,0.5451,0.62891,19.314
0.448,0,0.52297,0.20117,0.56471,0.64062,19.619
0.456,0,0.52297,0.24023,0.5451,0.59961,20.076
0.464,0,0.52395,0.18945,0.5549,0.66016,20.559
0.472,0,0.52395,0.2207,0.5451,0.63477,20.991
0.48,0,0.5259,0.20117,0.57059,0.6543,21.245
0.488,0,0.52786,0.24609,0.53922,0.60547,21.194
0.496,0,0.53079,0.2207,0.55098,0.62891,20.991
0.504,0,0.53666,0.24023,0.56078,0.61914,20.813
0.512,0,0.54154,0.23047,0.55098,0.64062,20.508
0.52,0,0.54839,0.30469,0.5549,0.58008,20.254
0.528,0,0.55914,0.24609,0.5451,0.61523,20
0.536,0,0.57185,0.29492,0.5549,0.56445,20
0.544,0,0.58651,0.31445,0.55098,0.56055,20.178
0.552,0,0.60313,0.25586,0.56471,0.60547,20.508
0.56,0,0.62072,0.25586,0.55098,0.59961,20.889
0.568,0,0.6393,0.26953,0.52941,0.58398,20.991
0.576,0,0.65689,0.27539,0.51961,0.58984,20.94
0.584,0,0.67449,0.26953,0.5451,0.5957,20.635
0.592,0,0.6911,0.30078,0.5549,0.57422,20.254
0.6,0,0.70577,0.33594,0.5451,0.56055,19.873
0.608,0,0.72043,0.33984,0.53529,0.57422,19.568
0.616,0,0.73021,0.2793,0.5098,0.56445,19.39
0.624,0,0.73803,0.23047,0.5451,0.625,19.39
0.632,0,0.74585,0.20508,0.53922,0.64062,19.568
0.64,0,0.75367,0.2207,0.56078,0.61523,19.949
0.648,0,0.76051,0.21094,0.5549,0.62891,20.432
0.656,0,0.7654,0.23047,0.56471,0.625,20.889
0.664,0,0.77028,0.22461,0.57451,0.6543,21.321
0.672,0,0.77322,0.23047,0.55098,0.62891,21.576
0.68,0,0.77517,0.22461,0.56078,0.61523,21.626
0.688,0,0.77517,0.23438,0.5451,0.60938,21.499
0.696,0,0.77419,0.23438,0.56078,0.61523,21.245
0.704,0,0.77126,0.2207,0.57451,0.63477,21.118
0.712,0,0.76735,0.34961,0.58431,0.53516,20.991
0.72,0,0.76246,0.64062,0.40392,0.34961,20.94
0.728,0,0.75855,0.96484,0.21961,0.13086,20.889
0.736,0,0.75367,1.3301,0.1549,-0.11914,20.813
0.744,0,0.74878,1.5,-0.082353,-0.35938,20.635
0.752,0,0.74291,1.5,-0.44706,-0.36328,20.254
0.76,0,0.73705,0.95898,-0.096078,0.19531,19.492
0.768,0,0.73118,0.29492,0.35882,0.57422,18.45
0.776,0,0.7263,0.085938,0.5902,0.68945,17.179
0.784,0,0.72043,0.0058594,0.67647,0.76953,15.68
0.792,0,0.71554,0,0.71569,0.79883,14.003
0.8,0,0.71065,0.025391,0.70588,0.75,12.198
0.808,0,0.70577,0.044922,0.71569,0.73438,10.318
0.816,0,0.70088,0.025391,0.72157,0.76953,8.4371
0.824,0,0.69795,0.035156,0.72549,0.75,6.6328
0.832,0,0.69501,0.050781,0.71569,0.74414,5.0572
0.84,0,0.69208,0.060547,0.71569,0.76953,3.8119
0.848,0,0.68915,0.025391,0.73529,0.7793,2.8717
0.856,0,0.68622,0.080078,0.73529,0.73047,2.2618
0.864,0,0.66471,0.054688,0.70588,0.73438,2.1347
0.872,0,0.63539,0.064453,0.71569,0.73438,2.5159
0.88,0,0.61975,0.044922,0.74118,0.75977,3.2529
0.888,0.0058651,0.60997,0.085938,0.74118,0.73438,4.371
0.896,0.01173,0.60411,0.060547,0.73529,0.74414,5.8704
0.904,0.025415,0.6002,0.064453,0.74118,0.74023,7.3189
0.912,0.038123,0.59629,0.054688,0.7549,0.73047,8.31
0.92,0.051808,0.59335,0.11133,0.7451,0.69922,8.4371
0.928,0.065494,0.58944,0.060547,0.74118,0.75,7.6239
0.936,0.079179,0.58651,0.054688,0.77647,0.73047,6.0737
0.944,0.092864,0.58358,0.064453,0.7902,0.73438,4.1169
0.952,0.10948,0.58065,0.085938,0.78627,0.73438,2.2618
0.96,0.1261,0.57674,0.054688,0.78039,0.73047,0.55909
0.968,0.14467,0.57283,0.03125,0.79608,0.73438,-0.73698
0.976,0.16325,0.56891,0.060547,0.79608,0.73047,-1.6264
0.984,0.18084,0.56403,0.035156,0.78627,0.75391,-1.9822
0.992,0.19941,0.55914,0.0058594,0.78627,0.77539,-1.8806
1,0.21701,0.55425,-0.013672,0.77647,0.7793,-1.4231
1.008,0.2346,0.54936,0.019531,0.7549,0.75,-0.73698
1.016,0.25318,0.54448,-0.0039062,0.73137,0.75977,-0.050826
1.024,0.27175,0.53959,-0.025391,0.72157,0.77539,0.50826
1.032,0.29228,0.53568,0.025391,0.72549,0.78516,0.94028
1.04,0.31183,0.53275,0.099609,0.66471,0.68945,1.1182
1.048,0.32942,0.52981,0.095703,0.63529,0.70508,1.0165
1.056,0.34702,0.52688,0.13086,0.61961,0.68555,0.55909
1.064,0.36266,0.5259,0.17578,0.59608,0.66016,-0.12706
1.072,0.3783,0.52395,0.20508,0.58039,0.63477,-0.81321
1.08,0.39003,0.52297,0.18555,0.57451,0.66016,-1.2452
1.088,0.40274,0.52199,0.21484,0.58039,0.64062,-1.2961
1.096,0.41153,0.52004,0.24609,0.56471,0.625,-0.94028
1.104,0.42033,0.51808,0.25,0.57059,0.62891,-0.30496
1.112,0.42522,0.51417,0.21094,0.58039,0.66016,0.38119
1.12,0.43011,0.50929,0.24609,0.58431,0.61914,0.88945
1.128,0.43304,0.50244,0.25586,0.57059,0.60938,1.2452
1.136,0.435,0.49462,0.22461,0.57451,0.64453,1.3723
1.144,0.43597,0.48387,0.16992,0.57451,0.66992,1.4485
1.152,0.43695,0.47214,0.22461,0.56078,0.62891,1.3723
1.16,0.43695,0.46041,0.21484,0.56471,0.64062,1.3215
1.168,0.43695,0.44673,0.20117,0.57451,0.64453,1.3215
1.176,0.43597,0.43402,0.16602,0.5902,0.67578,1.3723
1.184,0.43597,0.42131,0.21094,0.6,0.67969,1.5756
1.192,0.435,0.40958,0.23047,0.57451,0.63477,2.0076
1.2,0.43402,0.39785,0.20117,0.57451,0.64062,2.5159
1.208,0.435,0.38807,0.19531,0.59608,0.64453,2.9987
