breaths ann1 [signal sample no], breaths ann2 [signal sample no]
207,230
628,567
1089,1021
1485,1501
1915,1913
2320,2388
2698,2731
3067,3069
3446,3401
3809,3739
4165,4154
4513,4491
4878,4845
5213,5251
5613,5647
6030,5985
6326,6312
6709,6650
7109,7072
7483,7484
7898,7946
8276,8257
8698,8685
9063,9044
9476,9497
9798,9772
10189,10178
10607,10590
11020,11102
11461,11490
11752,11749
12126,12097
12487,12514
12857,12841
13261,13258
13713,13680
14178,14176
14674,14582
15028,15013
15476,15430
15911,15921
16324,16327
16711,16723
17154,17224
17554,17509
17911,17910
18324,18322
18689,18718
19065,19048
19430,19396
19822,19861
20152,20067
20478,20468
20861,20816
21252,21243
21570,21507
21865,21903
22222,22141
22559,22545
22989,22967
23289,23294
23698,23664
24085,24112
24537,24534
24954,24951
25337,25315
25820,25859
26189,26160
26630,26622
27035,27013
27487,27445
27874,27804
28217,28184
28622,28580
29026,28949
29417,29334
29861,29862
30128,30092
30541,30504
30933,30910
31307,31332
31698,31670
32176,32261
32550,32546
32933,32921
33333,33285
33707,33707
34143,34127
34561,34592
34948,34919
35330,35320
35696,35695
36087,36080
36470,36486
36957,36993
37270,37230
37602,37555
38033,38051
38441,38394
38846,38790
39324,39365
39693,39640
40098,40125
40511,40453
40872,40869
41348,41279
41717,41696
42113,42113
42609,42614
43009,42973
43404,43390
43735,43696
44057,44013
44587,44371
45054,44588
45393,45061
45741,45346
46189,45715
46541,46222
47011,46623
47376,46987
47802,47298
48241,47799
48659,48296
49078,48612
49474,49032
49974,49449
50430,49935
50770,50452
51174,50737
51561,51201
51991,51560
52417,52067
52693,52441
53137,52708
53511,53141
53950,53474
54385,53954
54780,54376
55228,54793
55689,55194
56085,55606
56635,56054
57026,56543
57574,57049
58243,57551
58639,58195
59048,58590
59504,59018
59800,59519
NaN,59757
