Time [s], RESP, PLETH, CVP, II, V, AVR
0,0.23656,0.2737,2.5033,0.43945,0.62891,0.72549
0.008,0.23754,0.26784,2.6988,0.43945,0.64062,0.73137
0.016,0.23851,0.26295,2.9335,0.43945,0.62891,0.7098
0.024,0.23949,0.26002,3.2073,0.42969,0.64062,0.73137
0.032,0.24047,0.25611,3.4029,0.42578,0.64453,0.74118
0.04,0.24242,0.25318,3.6375,0.43945,0.63477,0.71569
0.048,0.2434,0.24927,4.0287,0.43945,0.62891,0.70588
0.056,0.24536,0.24633,4.3416,0.43945,0.64453,0.72549
0.064,0.24829,0.2434,4.6545,0.45508,0.64062,0.7
0.072,0.25024,0.23949,4.9674,0.44922,0.64062,0.72157
0.08,0.25318,0.23656,5.2412,0.46484,0.64062,0.70588
0.088,0.25611,0.23265,5.5541,0.44531,0.63477,0.71569
0.096,0.25904,0.22972,5.867,0.43945,0.62891,0.72157
0.104,0.261,0.22678,6.1408,0.44922,0.62891,0.70588
0.112,0.26393,0.22287,6.4537,0.46094,0.63477,0.7
0.12,0.26588,0.2219,6.7666,0.46484,0.63477,0.70588
0.128,0.26784,0.21994,7.0795,0.45508,0.64062,0.7098
0.136,0.26979,0.21701,7.3924,0.47461,0.6543,0.6902
0.144,0.27077,0.2131,7.6271,0.4707,0.67578,0.69608
0.152,0.27175,0.21017,7.9009,0.48438,0.67969,0.7
0.16,0.2737,0.20919,8.1356,0.49023,0.64453,0.68039
0.168,0.2737,0.20919,8.3703,0.48438,0.625,0.68039
0.176,0.27468,0.21114,8.5658,0.4707,0.61914,0.69608
0.184,0.27566,0.21701,8.7614,0.43945,0.60938,0.70588
0.192,0.27664,0.22776,8.957,0.42969,0.60547,0.71569
0.2,0.27664,0.24536,9.0743,0.43555,0.60938,0.71569
0.208,0.27664,0.26784,9.1916,0.43945,0.61914,0.71569
0.216,0.27664,0.2913,9.2699,0.44531,0.61523,0.69608
0.224,0.27664,0.31672,9.309,0.46094,0.61914,0.6902
0.232,0.27566,0.34702,9.309,0.44531,0.61523,0.70588
0.24,0.27468,0.38123,9.1916,0.45508,0.61914,0.69608
0.248,0.2737,0.4174,9.1525,0.43945,0.625,0.7
