Time [s], RESP, PLETH, II, MCL, AVR
0,-0.069552,0.66667,0.64087,-0.17822,0.064039
0.008,-0.068006,0.65103,0.99536,-0.64851,-0.20936
0.016,-0.068006,0.63441,1.1517,-0.67327,-0.22906
0.024,-0.066461,0.61877,1.0356,-0.20297,0.19458
0.032,-0.064915,0.60313,0.85139,0.17822,0.43596
0.04,-0.063369,0.58553,0.43034,0.66337,0.74384
0.048,-0.060278,0.56696,0.12848,0.9703,0.93103
0.056,-0.058733,0.54741,-0.010836,1.1386,1.0197
0.064,-0.055641,0.52786,-0.066563,1.1881,1.0493
0.072,-0.051005,0.50831,-0.082043,1.2277,1.0591
0.08,-0.047913,0.48974,-0.082043,1.2376,1.064
0.088,-0.043277,0.47019,-0.082043,1.2475,1.0591
0.096,-0.040185,0.45357,-0.075851,1.2574,1.064
0.104,-0.037094,0.43793,-0.075851,1.2624,1.0591
0.112,-0.034003,0.42522,-0.071207,1.2723,1.0542
0.12,-0.029366,0.41447,-0.066563,1.2772,1.0443
0.128,-0.026275,0.40762,-0.06192,1.2921,1.0493
0.136,-0.021638,0.40176,-0.055728,1.302,1.0345
0.144,-0.017002,0.39785,-0.051084,1.3168,1.0345
0.152,-0.012365,0.39589,-0.035604,1.3267,1.0296
0.16,-0.007728,0.39394,-0.026316,1.3515,1.0099
0.168,-0.0046368,0.39394,-0.010836,1.3614,1.0099
0.176,0,0.39492,-0.001548,1.3861,1
0.184,0.0046368,0.39492,0.013932,1.3911,0.99507
0.192,0.0092736,0.39589,0.029412,1.4109,0.98522
0.2,0.01391,0.39687,0.0387,1.401,0.97537
0.208,0.018547,0.39785,0.058824,1.4158,0.96552
0.216,0.02473,0.39785,0.063467,1.401,0.96059
0.224,0.029366,0.39785,0.069659,1.396,0.95074
0.232,0.034003,0.39785,0.089783,1.3762,0.93596
0.24,0.03864,0.39687,0.099071,1.3663,0.91872
0.248,0.043277,0.39589,0.11455,1.3267,0.89901
0.256,0.046368,0.39492,0.13467,1.3069,0.88424
0.264,0.049459,0.39296,0.13467,1.2723,0.86946
0.272,0.054096,0.39003,0.13932,1.2426,0.86453
0.28,0.057187,0.3871,0.13467,1.2079,0.85961
0.288,0.060278,0.38319,0.12848,1.1782,0.85961
0.296,0.061824,0.37928,0.1192,1.1485,0.86453
0.304,0.064915,0.37537,0.10836,1.1287,0.86946
0.312,0.066461,0.37146,0.094427,1.1139,0.87931
0.32,0.069552,0.36852,0.089783,1.104,0.88424
0.328,0.069552,0.36657,0.083591,1.1089,0.88916
0.336,0.071097,0.36559,0.074303,1.099,0.89409
0.344,0.071097,0.36266,0.063467,1.104,0.89901
0.352,0.072643,0.35973,0.063467,1.099,0.89409
0.36,0.072643,0.35679,0.063467,1.104,0.89901
0.368,0.074189,0.35288,0.058824,1.099,0.89901
0.376,0.072643,0.34995,0.05418,1.1188,0.90887
0.384,0.072643,0.34604,0.05418,1.1139,0.90887
0.392,0.071097,0.34213,0.058824,1.1337,0.91379
0.4,0.069552,0.3392,0.05418,1.1188,0.90887
0.408,0.068006,0.33529,0.049536,1.1287,0.91379
0.416,0.066461,0.33236,0.0387,1.1188,0.91379
0.424,0.064915,0.32942,0.0387,1.1287,0.91379
0.432,0.061824,0.32845,0.043344,1.1188,0.91379
0.44,0.058733,0.32551,0.043344,1.1188,0.91379
0.448,0.057187,0.32356,0.043344,1.104,0.90887
0.456,0.054096,0.3216,0.043344,1.099,0.90887
0.464,0.051005,0.31965,0.058824,1.1089,0.90394
0.472,0.047913,0.31672,0.083591,1.1386,0.89409
0.48,0.044822,0.31476,0.10836,1.1238,0.87438
0.488,0.041731,0.31183,0.1192,1.1139,0.86946
0.496,0.03864,0.3089,0.12384,1.1238,0.85961
0.504,0.035549,0.30596,0.17492,1.1337,0.81034
