Time [s], RESP, II, V, AVR, PLETH
0,0.1301,1.5039,1.5039,-0.49805,0.50049
0.008,0.11262,1.5039,1.5039,-0.49805,0.49756
0.016,0.093204,1.5039,1.4529,-0.44336,0.49462
0.024,0.069903,1.5039,1.3529,-0.35938,0.49169
0.032,0.046602,1.4235,1.2529,-0.27344,0.48778
0.04,0.021359,1.3078,1.1569,-0.20508,0.48485
0.048,-0.0038835,1.1863,1.0824,-0.12891,0.48289
0.056,-0.025243,1.0961,1.0275,-0.074219,0.47996
0.064,-0.046602,1.0471,0.99216,-0.044922,0.47801
0.072,-0.066019,1.002,0.96667,-0.013672,0.47507
0.08,-0.083495,0.96667,0.96078,0.0097656,0.47214
0.088,-0.095146,0.94706,0.95098,0.019531,0.46921
0.096,-0.1068,0.93725,0.95098,0.019531,0.46628
0.104,-0.11456,0.92157,0.95098,0.041016,0.46334
0.112,-0.12039,0.90588,0.95098,0.050781,0.46041
0.12,-0.12233,0.92157,0.96078,0.03125,0.45748
0.128,-0.12233,0.91176,0.94706,0.041016,0.45455
0.136,-0.11845,0.93137,0.95686,0.03125,0.45161
0.144,-0.11262,0.92549,0.95098,0.035156,0.44966
0.152,-0.10097,0.91569,0.95686,0.044922,0.44868
0.16,-0.091262,0.92549,0.96078,0.035156,0.44575
0.168,-0.073786,0.92157,0.95686,0.044922,0.43206
0.176,-0.056311,0.93725,0.95098,0.03125,0.41251
0.184,-0.03301,0.92549,0.95098,0.041016,0.40078
0.192,-0.0097087,0.92157,0.95098,0.03125,0.39198
0.2,0.021359,0.92549,0.94706,0.041016,0.38612
0.208,0.050485,0.93725,0.94706,0.019531,0.38025
0.216,0.085437,0.92549,0.95098,0.03125,0.37537
0.224,0.12233,0.92549,0.94118,0.03125,0.37146
0.232,0.16311,0.92157,0.94118,0.035156,0.36755
0.24,0.20583,0.92549,0.94706,0.019531,0.36364
0.248,0.25049,0.92157,0.93725,0.03125,0.35973
0.256,0.29515,0.92549,0.93725,0.025391,0.35777
0.264,0.34175,0.92549,0.94118,0.025391,0.35484
0.272,0.39029,0.92549,0.93137,0.019531,0.35191
0.28,0.43689,0.92157,0.93137,0.03125,0.35093
0.288,0.48544,0.93137,0.94118,0.019531,0.34995
0.296,0.53398,0.93725,0.95686,0.025391,0.34995
0.304,0.58252,0.96078,0.98627,0.015625,0.35093
0.312,0.62913,0.97647,1.002,0.0097656,0.35191
0.32,0.67573,0.95686,0.99608,0.025391,0.35484
0.328,0.71845,0.96667,0.97059,0.015625,0.35875
0.336,0.76311,0.95098,0.93137,0.019531,0.36364
0.344,0.80388,0.95686,0.90588,0,0.3695
0.352,0.8466,0.95098,0.90588,0.0058594,0.37439
0.36,0.88544,0.93137,0.90588,0.015625,0.38025
0.368,0.92427,0.91569,0.90588,0.025391,0.3871
0.376,0.96311,0.90196,0.91176,0.044922,0.39492
0.384,1,0.89608,0.90588,0.044922,0.40274
0.392,1.035,0.90196,0.91176,0.041016,0.41153
0.4,1.0699,0.8902,0.91176,0.044922,0.41935
0.408,1.101,0.90196,0.91176,0.041016,0.42815
0.416,1.134,0.91569,0.90588,0.025391,0.43597
0.424,1.1631,0.98627,0.88627,-0.035156,0.44477
0.432,1.1903,1.0373,0.72549,-0.064453,0.45259
0.44,1.2155,0.38431,0.26863,0.38086,0.46139
0.448,1.2388,-0.50196,-0.37843,0.95508,0.47019
0.456,1.2602,-0.50196,-0.50196,1.4883,0.47801
0.464,1.2816,-0.50196,-0.50196,1.5,0.48387
0.472,1.299,-0.50196,-0.50196,1.4883,0.48876
0.48,1.3165,-0.50196,-0.36667,1.2051,0.49365
0.488,1.332,-0.50196,0.052941,0.91406,0.49756
0.496,1.3476,-0.28235,0.37059,0.67578,0.50049
0.504,1.3592,0.11373,0.66078,0.42969,0.50244
0.512,1.3728,0.52549,0.91176,0.17969,0.50147
0.52,1.3825,0.82549,1.1118,-0.0039062,0.50049
0.528,1.3942,1.0059,1.2275,-0.11914,0.49951
0.536,1.4039,1.1961,1.3569,-0.17969,0.49756
0.544,1.4136,1.3216,1.4176,-0.22461,0.49462
0.552,1.4233,1.3529,1.4235,-0.24023,0.49169
0.56,1.433,1.3725,1.4235,-0.25,0.48974
0.568,1.4427,1.3784,1.4235,-0.25,0.48778
0.576,1.4505,1.3784,1.4118,-0.25977,0.48485
0.584,1.4602,1.3882,1.402,-0.25391,0.48289
0.592,1.4699,1.3922,1.398,-0.25977,0.47996
0.6,1.4757,1.3922,1.398,-0.25977,0.47801
0.608,1.4835,1.398,1.3922,-0.26953,0.47507
0.616,1.4893,1.4078,1.3922,-0.27344,0.47312
0.624,1.4932,1.4235,1.3922,-0.28516,0.47019
0.632,1.4932,1.4333,1.398,-0.29492,0.46823
0.64,1.4932,1.4569,1.398,-0.30859,0.46725
0.648,1.4932,1.4882,1.398,-0.33398,0.4653
0.656,1.4932,1.5039,1.4118,-0.35938,0.46334
0.664,1.4932,1.5039,1.4333,-0.38867,0.46237
0.672,1.4932,1.5039,1.4529,-0.44336,0.46139
0.68,1.4932,1.5039,1.4882,-0.49805,0.46041
0.688,1.4932,1.5039,1.5039,-0.49805,0.45846
0.696,1.4893,1.5039,1.5039,-0.49805,0.4565
0.704,1.4854,1.5039,1.5039,-0.49805,0.45357
0.712,1.4699,1.5039,1.5039,-0.49805,0.44966
0.72,1.4563,1.5039,1.5039,-0.49805,0.44673
0.728,1.435,1.5039,1.5039,-0.49805,0.44379
0.736,1.4155,1.5039,1.4882,-0.49805,0.43988
0.744,1.3883,1.5039,1.3882,-0.44922,0.43793
0.752,1.3612,1.5039,1.2882,-0.35352,0.435
0.76,1.3282,1.3725,1.1824,-0.27344,0.43304
0.768,1.2971,1.2569,1.0961,-0.19922,0.43304
0.776,1.2641,1.1667,1.0314,-0.14453,0.43206
0.784,1.2291,1.0922,0.99608,-0.09375,0.43206
0.792,1.1922,1.0373,0.96667,-0.064453,0.43206
0.8,1.1553,1.002,0.95098,-0.039062,0.43109
0.808,1.1146,0.98235,0.94706,-0.029297,0.43011
0.816,1.0757,0.96078,0.94118,-0.013672,0.42913
0.824,1.035,0.95686,0.93725,-0.013672,0.42815
0.832,0.99417,0.95098,0.93725,0,0.42815
0.84,0.9534,0.95098,0.93725,0,0.42815
0.848,0.91262,0.95098,0.93725,0,0.42815
0.856,0.87184,0.95098,0.93725,0,0.42815
0.864,0.83301,0.95098,0.94118,0,0.42815
0.872,0.79417,0.95098,0.94706,0,0.42815
0.88,0.75534,0.95098,0.94118,0,0.42815
0.888,0.72039,0.96078,0.94118,-0.0097656,0.42815
0.896,0.6835,0.95686,0.94118,-0.0039062,0.4262
0.904,0.65243,0.96078,0.94706,-0.0097656,0.42522
0.912,0.61942,0.96078,0.94706,-0.0039062,0.42424
0.92,0.59223,0.96078,0.94706,-0.0097656,0.42326
0.928,0.56699,0.96078,0.94118,-0.0039062,0.42131
0.936,0.54369,0.95686,0.94706,-0.0097656,0.42033
0.944,0.52039,0.96078,0.93725,-0.0039062,0.41935
0.952,0.50291,0.95686,0.94118,-0.0039062,0.4174
0.96,0.48544,0.95686,0.93725,-0.0039062,0.41642
0.968,0.4699,0.95686,0.94118,0,0.41544
0.976,0.45631,0.95686,0.93725,-0.0039062,0.41544
0.984,0.44466,0.95098,0.94118,0,0.41544
0.992,0.43301,0.95098,0.93137,-0.0039062,0.41544
1,0.42136,0.95098,0.93725,-0.0039062,0.41544
1.008,0.41165,0.94706,0.93725,0,0.41544
1.016,0.40194,0.94706,0.94118,-0.0039062,0.41544
1.024,0.39223,0.95098,0.93725,-0.0039062,0.41642
1.032,0.38252,0.95098,0.94118,-0.0039062,0.41838
1.04,0.37282,0.96078,0.94706,-0.0039062,0.42229
1.048,0.36311,0.97059,0.97059,-0.0097656,0.4262
1.056,0.3534,0.99216,0.99608,-0.013672,0.43206
1.064,0.34369,1.002,1.0059,-0.019531,0.43988
1.072,0.33398,0.99608,1.0118,-0.0097656,0.44673
1.08,0.32621,0.98627,0.98235,-0.019531,0.45552
1.088,0.3165,0.97647,0.93725,-0.013672,0.46237
1.096,0.30874,0.97647,0.91176,-0.025391,0.46921
1.104,0.29903,0.96667,0.92157,-0.013672,0.47605
1.112,0.29126,0.94706,0.92157,0,0.48485
1.12,0.2835,0.92549,0.92157,0.019531,0.49462
1.128,0.27573,0.90588,0.92157,0.03125,0.5044
1.136,0.2699,0.90588,0.92549,0.03125,0.51417
1.144,0.26408,0.90588,0.92549,0.03125,0.52493
1.152,0.25825,0.90588,0.92549,0.03125,0.53568
1.16,0.25243,0.90588,0.92549,0.03125,0.54643
1.168,0.24854,0.93137,0.92549,0.0058594,0.55523
1.176,0.24272,1.0118,0.8902,-0.054688,0.565
1.184,0.23883,1.0314,0.61569,0.041016,0.5738
1.192,0.23301,0.13922,0.04902,0.50977,0.58065
1.2,0.22913,-0.50196,-0.50196,1.0391,0.58651
1.208,0.2233,-0.50196,-0.50196,1.4746,0.59238
1.216,0.21942,-0.50196,-0.50196,1.5,0.59726
1.224,0.21359,-0.50196,-0.50196,1.3086,0.60117
1.232,0.20777,-0.50196,-0.28824,1.0391,0.60313
1.24,0.20388,-0.49804,0.068627,0.7793,0.60411
1.248,0.19806,-0.16667,0.4098,0.57422,0.60411
1.256,0.19223,0.22941,0.7098,0.33008,0.60313
1.264,0.18641,0.61961,0.97647,0.099609,0.60117
1.272,0.18252,0.86078,1.151,-0.054688,0.59922
1.28,0.1767,1.0412,1.2725,-0.13867,0.59531
1.288,0.17087,1.2275,1.4235,-0.16992,0.59238
1.296,0.16699,1.302,1.4627,-0.19336,0.58847
1.304,0.16311,1.3275,1.4686,-0.20898,0.58358
1.312,0.15922,1.3373,1.4627,-0.21484,0.57967
1.32,0.15728,1.3431,1.4529,-0.20898,0.57478
1.328,0.15534,1.3529,1.4471,-0.21484,0.56891
1.336,0.15534,1.3529,1.4471,-0.21875,0.56207
1.344,0.1534,1.3569,1.4373,-0.22461,0.55523
1.352,0.15534,1.3627,1.4333,-0.22852,0.54839
1.36,0.15534,1.3667,1.4275,-0.23438,0.54154
1.368,0.1534,1.3725,1.4235,-0.23438,0.5347
1.376,0.1534,1.3824,1.4235,-0.25,0.52884
1.384,0.15146,1.398,1.4333,-0.25977,0.52395
1.392,0.14951,1.4275,1.4373,-0.28516,0.51808
1.4,0.14757,1.4569,1.4471,-0.29883,0.5132
1.408,0.14563,1.502,1.4569,-0.33398,0.50831
1.416,0.14369,1.5039,1.4824,-0.36914,0.50342
1.424,0.14175,1.5039,1.5039,-0.41992,0.49853
1.432,0.13592,1.5039,1.5039,-0.46484,0.49365
1.44,0.13204,1.5039,1.5039,-0.49805,0.48876
1.448,0.12621,1.5039,1.5039,-0.49805,0.48387
1.456,0.12039,1.5039,1.5039,-0.49805,0.47996
1.464,0.10874,1.5039,1.5039,-0.49805,0.47507
1.472,0.099029,1.5039,1.5039,-0.49805,0.47116
1.48,0.083495,1.5039,1.5039,-0.49805,0.46725
1.488,0.067961,1.5039,1.502,-0.48828,0.46334
1.496,0.048544,1.5039,1.398,-0.4082,0.45846
1.504,0.029126,1.4686,1.2824,-0.31445,0.45455
1.512,0.007767,1.3373,1.1824,-0.24023,0.45064
1.52,-0.01165,1.2275,1.0961,-0.17383,0.4477
1.528,-0.03301,1.1412,1.0314,-0.125,0.44379
1.536,-0.052427,1.0765,0.99216,-0.083984,0.44086
1.544,-0.071845,1.0275,0.95098,-0.054688,0.43695
1.552,-0.091262,0.99608,0.94118,-0.035156,0.43304
1.56,-0.11068,0.97059,0.93137,-0.019531,0.42913
1.568,-0.1301,0.95686,0.93725,-0.0039062,0.42522
1.576,-0.14757,0.95098,0.93725,0,0.42131
1.584,-0.16505,0.95686,0.94118,0,0.4174
1.592,-0.18252,0.95686,0.93725,0,0.41544
1.6,-0.19806,0.95098,0.94706,0,0.41251
1.608,-0.21359,0.95098,0.94118,0,0.41056
1.616,-0.22718,0.95098,0.94706,0,0.4086
1.624,-0.24078,0.95098,0.95098,0,0.40762
1.632,-0.25243,0.95098,0.95686,0,0.40567
1.64,-0.26019,0.95098,0.96667,0,0.40371
1.648,-0.2699,0.95686,0.96667,0,0.40176
1.656,-0.27573,0.96078,0.96078,0,0.3998
1.664,-0.28155,0.96078,0.96078,-0.0039062,0.39687
1.672,-0.2835,0.96078,0.95686,-0.0039062,0.39394
1.68,-0.28544,0.96078,0.95098,-0.0039062,0.39101
1.688,-0.2835,0.96078,0.95686,0,0.38807
1.696,-0.28155,0.95686,0.95686,-0.0039062,0.38514
1.704,-0.27573,0.95098,0.95098,0,0.38221
1.712,-0.2699,0.95686,0.95098,0,0.37928
