Time [s], RESP, PLETH, I, MCL, II
0,0.84946,0.45943,0.75,0.35882,0.10392
0.008,0.82991,0.45259,0.75977,0.35882,0.10392
0.016,0.81036,0.44673,0.75977,0.35882,0.10392
0.024,0.79081,0.44086,0.75977,0.3549,0.10392
0.032,0.77028,0.43597,0.75391,0.35882,0.11373
0.04,0.74976,0.43109,0.75977,0.3549,0.11373
0.048,0.72727,0.44086,0.75977,0.3549,0.11961
0.056,0.70577,0.45748,0.77539,0.3451,0.12353
0.064,0.68328,0.46334,0.7793,0.3451,0.12941
0.072,0.6608,0.46432,0.78516,0.3451,0.11961
0.08,0.63636,0.46334,0.78516,0.33922,0.13333
0.088,0.6129,0.45943,0.78906,0.33922,0.14902
0.096,0.58847,0.45552,0.79492,0.33922,0.14902
0.104,0.56305,0.45161,0.80469,0.33529,0.14902
0.112,0.53861,0.4477,0.81055,0.33529,0.14902
0.12,0.51417,0.44282,0.80469,0.33529,0.14902
0.128,0.48876,0.43891,0.81445,0.32941,0.14902
0.136,0.46432,0.43402,0.82422,0.32941,0.14902
0.144,0.44086,0.42913,0.82422,0.33529,0.1549
0.152,0.41838,0.42522,0.83008,0.32941,0.14902
0.16,0.39589,0.41935,0.82422,0.32941,0.14902
0.168,0.37439,0.41447,0.82031,0.32941,0.14314
0.176,0.35191,0.41153,0.81445,0.31961,0.13922
0.184,0.32942,0.40958,0.81055,0.31961,0.14902
0.192,0.30792,0.40762,0.81445,0.31373,0.14314
0.2,0.28543,0.40567,0.81055,0.31373,0.13333
0.208,0.26393,0.40371,0.81055,0.31373,0.13333
0.216,0.24242,0.40176,0.81055,0.31373,0.12941
0.224,0.22092,0.3998,0.81055,0.31373,0.12353
0.232,0.19941,0.39687,0.81055,0.3098,0.12941
0.24,0.17889,0.39296,0.81055,0.30392,0.12353
0.248,0.15738,0.38905,0.81055,0.3098,0.11961
0.256,0.13685,0.38514,0.79883,0.31373,0.12353
0.264,0.11632,0.38123,0.79883,0.3098,0.12941
0.272,0.095797,0.3783,0.78906,0.3098,0.12941
0.28,0.076246,0.37537,0.78516,0.31373,0.11961
0.288,0.056696,0.37146,0.7793,0.31373,0.10392
0.296,0.038123,0.36755,0.78516,0.31373,0.11373
0.304,0.018573,0.36364,0.76953,0.31373,0.11373
0.312,0,0.35973,0.76562,0.31373,0.12353
0.32,0,0.35679,0.76953,0.31373,0.12941
0.328,0,0.35484,0.75977,0.31961,0.12353
0.336,0,0.35288,0.77539,0.31373,0.11961
0.344,0,0.35191,0.76562,0.31961,0.12941
0.352,0,0.35191,0.76953,0.31961,0.13922
0.36,0,0.35191,0.77539,0.31961,0.12941
0.368,0,0.35191,0.76562,0.32353,0.12353
0.376,0,0.35386,0.76562,0.32353,0.11961
0.384,0,0.35679,0.77539,0.32353,0.12941
0.392,0,0.36168,0.77539,0.31961,0.14314
0.4,0,0.3695,0.76953,0.32353,0.12941
0.408,0,0.38025,0.78516,0.31373,0.12941
0.416,0,0.39296,0.78516,0.31373,0.13333
0.424,0,0.40762,0.78516,0.31373,0.13333
0.432,0,0.42522,0.78516,0.31373,0.14314
0.44,0,0.44477,0.7793,0.31373,0.15882
0.448,0,0.4653,0.78516,0.31373,0.16863
0.456,0,0.48778,0.78516,0.31373,0.17451
0.464,0,0.51026,0.78516,0.31373,0.17451
0.472,0,0.52884,0.78906,0.31373,0.16471
0.48,0,0.54545,0.78906,0.3098,0.14902
0.488,0,0.56305,0.79492,0.3098,0.14902
0.496,0,0.57967,0.78906,0.3098,0.13922
0.504,0,0.59531,0.81055,0.3,0.12941
0.512,0,0.60899,0.82031,0.29412,0.12941
0.52,0,0.6217,0.83008,0.3,0.13922
0.528,0,0.63539,0.82422,0.30392,0.13922
0.536,0,0.64712,0.79492,0.31373,0.12941
0.544,0,0.65787,0.7793,0.31373,0.12941
0.552,0,0.66569,0.76953,0.31373,0.1098
0.56,0,0.67058,0.76562,0.31961,0.098039
0.568,0,0.67351,0.76953,0.31961,0.10392
0.576,0,0.67546,0.76562,0.32353,0.098039
0.584,0,0.67546,0.75977,0.32941,0.10392
0.592,0,0.67351,0.76562,0.32353,0.098039
0.6,0,0.67155,0.76562,0.32353,0.094118
0.608,0,0.66862,0.77539,0.32353,0.098039
0.616,0,0.66471,0.76953,0.32353,0.10392
0.624,0,0.65885,0.75,0.33922,0.12353
0.632,0,0.65103,0.68945,0.37059,0.12941
0.64,0,0.64321,0.68555,0.38039,0.11373
0.648,0,0.63245,1.1699,0.23333,0.32941
0.656,0,0.62072,1.5,0.013725,0.44902
0.664,0,0.61095,1.4141,-0.05098,0.1098
0.672,0,0.60215,0.78516,0.039216,-0.10196
0.68,0,0.59433,0.71484,0.18824,-0.015686
0.688,0,0.58749,0.75977,0.27843,0.058824
0.696,0,0.57869,0.74414,0.33529,0.084314
0.704,0,0.57185,0.73438,0.33922,0.094118
0.712,0,0.56305,0.73438,0.34902,0.1098
0.72,0,0.55425,0.73438,0.3549,0.10392
0.728,0,0.54448,0.73438,0.35882,0.11961
0.736,0,0.53568,0.73438,0.35882,0.10392
0.744,0,0.52786,0.74023,0.3549,0.11961
0.752,0,0.51906,0.75,0.3549,0.12941
0.76,0,0.51124,0.74414,0.34902,0.11373
