Time [s], I, RESP, II, V, PLETH
0,0.75977,0,0.10392,0.7098,0.45455
0.008,0.75977,0,0.10392,0.7098,0.44966
0.016,0.76562,0,0.10392,0.7098,0.44673
0.024,0.76953,0,0.10392,0.7098,0.44379
0.032,0.75977,0,0.10392,0.7098,0.44477
0.04,0.75977,0,0.10392,0.7098,0.4477
0.048,0.75977,0,0.10392,0.7098,0.45357
0.056,0.75977,0,0.10392,0.7098,0.46237
0.064,0.76562,0,0.10392,0.7098,0.47214
0.072,0.75977,0,0.098039,0.7098,0.48485
0.08,0.75977,0,0.098039,0.7098,0.49658
0.088,0.76562,0,0.10392,0.70588,0.50929
0.096,0.75977,0,0.10392,0.7098,0.52199
0.104,0.75977,0,0.10392,0.70588,0.53372
0.112,0.75977,0,0.10392,0.70588,0.5435
0.12,0.75977,0,0.098039,0.7,0.5523
0.128,0.75977,0,0.10392,0.70588,0.56207
0.136,0.75977,0,0.094118,0.70588,0.57185
0.144,0.75977,0,0.094118,0.7,0.57967
0.152,0.75977,0,0.094118,0.7098,0.58553
0.16,0.76562,0,0.098039,0.70588,0.59042
0.168,0.75391,0,0.088235,0.7098,0.59335
0.176,0.75391,0,0.094118,0.70588,0.59433
0.184,0.75977,0,0.088235,0.7098,0.59433
0.192,0.75977,0,0.088235,0.7098,0.59238
0.2,0.75977,0,0.088235,0.7098,0.58944
0.208,0.75977,0,0.078431,0.7098,0.58651
0.216,0.75977,0,0.084314,0.7098,0.5826
0.224,0.76562,0,0.098039,0.70588,0.57771
0.232,0.75977,0,0.088235,0.7098,0.57185
0.24,0.75977,0,0.094118,0.71569,0.56403
0.248,0.75977,0,0.098039,0.70588,0.55718
0.256,0.75977,0,0.094118,0.7098,0.54839
0.264,0.75977,0,0.098039,0.7098,0.53959
0.272,0.76562,0,0.10392,0.70588,0.53079
0.28,0.75977,0.046921,0.098039,0.7,0.52199
0.288,0.76953,0.093842,0.12941,0.6902,0.51417
0.296,0.76562,0.15347,0.13333,0.6902,0.50733
0.304,0.76953,0.2131,0.12941,0.69608,0.49951
0.312,0.76953,0.28055,0.13333,0.7,0.49267
0.32,0.7793,0.34897,0.12941,0.70588,0.4868
0.328,0.7793,0.42326,0.11373,0.7098,0.48094
0.336,0.7793,0.49853,0.11961,0.70588,0.47507
0.344,0.7793,0.57576,0.10392,0.70588,0.46921
0.352,0.78906,0.65298,0.098039,0.7098,0.46334
0.36,0.80469,0.71848,0.11373,0.71569,0.45748
0.368,0.81055,0.78397,0.11373,0.72157,0.45064
0.376,0.79883,0.83773,0.1098,0.71569,0.44379
0.384,0.77539,0.8915,0.10392,0.7098,0.43793
0.392,0.76562,0.93353,0.10392,0.7098,0.43109
0.4,0.76562,0.97556,0.088235,0.71569,0.42522
0.408,0.75977,0.98827,0.084314,0.7098,0.41935
0.416,0.75977,1,0.094118,0.7098,0.41447
0.424,0.76562,1,0.084314,0.71569,0.40958
0.432,0.76562,1,0.084314,0.7098,0.40469
0.44,0.76953,1,0.094118,0.71569,0.3998
0.448,0.76562,1,0.088235,0.7098,0.39492
0.456,0.75977,1,0.088235,0.7098,0.39101
0.464,0.70898,1,0.098039,0.7,0.38221
0.472,0.70508,1,0.11373,0.71569,0.37048
0.48,1.0293,1,0.32353,0.7902,0.36266
0.488,1.375,1,0.56078,0.81176,0.35582
0.496,1.4492,1,0.32353,0.81569,0.34897
0.504,0.73438,1,-0.056863,0.53922,0.34409
0.512,0.60547,1,-0.11765,0.51961,0.34018
0.52,0.69922,1,-0.0058823,0.67647,0.33724
0.528,0.74023,1,0.04902,0.71569,0.33431
0.536,0.74023,1,0.07451,0.71569,0.3304
0.544,0.73438,1,0.068627,0.71569,0.32649
0.552,0.73047,1,0.068627,0.71569,0.32258
0.56,0.73438,1,0.088235,0.7098,0.31867
0.568,0.74414,1,0.094118,0.71569,0.31476
0.576,0.74414,1,0.088235,0.71569,0.31085
0.584,0.74023,1,0.078431,0.72157,0.30694
0.592,0.75,1,0.088235,0.72549,0.30205
0.6,0.75391,1,0.078431,0.72157,0.29912
0.608,0.75391,1,0.078431,0.72157,0.29619
0.616,0.75391,1,0.088235,0.72157,0.29423
0.624,0.75977,1,0.088235,0.72549,0.2913
0.632,0.75391,1,0.084314,0.72549,0.28739
0.64,0.75977,1,0.094118,0.72549,0.2825
0.648,0.76562,1,0.098039,0.72549,0.27664
0.656,0.76953,1,0.094118,0.73137,0.27175
0.664,0.77539,1,0.10392,0.72549,0.26784
0.672,0.78516,1,0.11373,0.72549,0.26393
0.68,0.78516,1,0.1098,0.73137,0.25904
0.688,0.78906,1,0.11961,0.72549,0.25513
0.696,0.79883,1,0.12941,0.73529,0.2522
0.704,0.81055,1,0.12353,0.73529,0.24829
0.712,0.81445,1,0.12941,0.74118,0.24731
0.72,0.82031,1,0.12941,0.74118,0.24633
0.728,0.82422,1,0.13922,0.73529,0.24438
0.736,0.83008,1,0.14902,0.73137,0.2434
0.744,0.83398,1,0.16471,0.73137,0.24242
0.752,0.83008,1,0.14902,0.74118,0.24047
0.76,0.82422,1,0.13333,0.73529,0.23851
0.768,0.82422,1,0.12353,0.73529,0.23656
0.776,0.82031,1,0.12941,0.73137,0.2346
0.784,0.81055,1,0.11373,0.72549,0.23167
0.792,0.80469,1,0.088235,0.72549,0.22874
0.8,0.81055,1,0.094118,0.73529,0.22678
0.808,0.79883,1,0.078431,0.73137,0.22581
0.816,0.79492,1,0.068627,0.72157,0.22581
0.824,0.82422,1,0.11961,0.72549,0.22483
0.832,0.83008,1,0.12941,0.73529,0.22385
0.84,0.81055,1,0.1098,0.74118,0.22287
0.848,0.78516,1,0.094118,0.72157,0.22092
0.856,0.78516,1,0.098039,0.72157,0.21994
0.864,0.76953,1,0.10392,0.71569,0.21799
0.872,0.77539,1,0.098039,0.71569,0.21603
0.88,0.76562,1,0.10392,0.7098,0.2131
0.888,0.75977,1,0.094118,0.70588,0.21114
0.896,0.76562,1,0.1098,0.7098,0.21017
0.904,0.75977,1,0.10392,0.71569,0.20919
0.912,0.75977,1,0.088235,0.7098,0.20919
0.92,0.75977,1,0.088235,0.7098,0.21017
0.928,0.75391,1,0.098039,0.7,0.21017
0.936,0.75977,1,0.1098,0.70588,0.21017
0.944,0.76562,1,0.10392,0.70588,0.21017
0.952,0.75977,1,0.10392,0.71569,0.21114
0.96,0.76953,1,0.098039,0.71569,0.21505
0.968,0.76562,1,0.10392,0.7098,0.2219
0.976,0.75977,1,0.11961,0.7098,0.23265
0.984,0.75391,1,0.15882,0.73529,0.24731
0.992,1.0703,1,0.34902,0.77059,0.26491
1,1.3242,1,0.51961,0.73529,0.28543
1.008,1.1738,1,0.18824,0.7,0.30596
1.016,0.67578,1,-0.066667,0.51569,0.32454
1.024,0.625,1,-0.0019608,0.58431,0.34702
1.032,0.73047,1,0.07451,0.67059,0.37048
1.04,0.74023,1,0.088235,0.70588,0.39492
1.048,0.75,1,0.098039,0.71569,0.41935
1.056,0.74414,1,0.088235,0.71569,0.44282
1.064,0.74023,1,0.078431,0.72157,0.46725
1.072,0.75391,1,0.094118,0.73137,0.48974
1.08,0.75,1,0.078431,0.73137,0.5132
1.088,0.75977,1,0.068627,0.73529,0.5347
1.096,0.75,1,0.062745,0.73137,0.55425
1.104,0.74414,1,0.088235,0.72549,0.57087
1.112,0.75,1,0.098039,0.72549,0.58358
1.12,0.75,1,0.07451,0.73529,0.59726
1.128,0.75977,1,0.094118,0.73529,0.61095
1.136,0.76562,1,0.078431,0.73529,0.62366
1.144,0.75977,1,0.07451,0.73529,0.63539
1.152,0.77539,1,0.094118,0.73137,0.64614
1.16,0.76953,1,0.098039,0.73529,0.65494
1.168,0.76562,1,0.07451,0.73137,0.66178
1.176,0.7793,1,0.1098,0.73529,0.66764
1.184,0.77539,1,0.12941,0.72549,0.67155
1.192,0.78516,1,0.11373,0.73137,0.67449
1.2,0.79492,1,0.11373,0.74118,0.67449
1.208,0.79883,1,0.11961,0.74118,0.67351
1.216,0.80469,1,0.12941,0.73529,0.6696
1.224,0.81055,1,0.13922,0.74118,0.66471
1.232,0.81055,1,0.14314,0.74118,0.65689
1.24,0.81055,1,0.11373,0.74118,0.64907
1.248,0.81055,1,0.11961,0.74118,0.6393
1.256,0.81055,1,0.13333,0.72549,0.62952
1.264,0.80469,1,0.12941,0.72157,0.61975
1.272,0.81055,1,0.12941,0.72549,0.60997
1.28,0.81055,1,0.12353,0.72549,0.6002
1.288,0.81055,1,0.12353,0.72157,0.59042
1.296,0.81055,1,0.1098,0.72549,0.58162
1.304,0.81055,1,0.098039,0.73137,0.5738
1.312,0.81055,1,0.12353,0.72549,0.565
1.32,0.79883,1,0.11373,0.71569,0.55621
1.328,0.78906,1,0.10392,0.71569,0.54839
1.336,0.78516,1,0.10392,0.71569,0.53959
1.344,0.7793,1,0.088235,0.72157,0.52981
1.352,0.78516,1,0.084314,0.71569,0.52004
1.36,0.77539,1,0.098039,0.71569,0.51026
1.368,0.76562,1,0.094118,0.71569,0.50049
1.376,0.75977,1,0.084314,0.71569,0.49071
1.384,0.76562,1,0.088235,0.71569,0.48094
1.392,0.76562,1,0.07451,0.72157,0.47214
1.4,0.76562,1,0.078431,0.72157,0.46334
1.408,0.76953,1,0.084314,0.72157,0.4565
1.416,0.76953,1,0.084314,0.72157,0.44966
1.424,0.76562,1,0.088235,0.72157,0.44282
1.432,0.76562,1,0.078431,0.72157,0.435
1.44,0.76562,1,0.084314,0.72157,0.42717
1.448,0.76953,1,0.088235,0.72157,0.41935
1.456,0.76953,1,0.094118,0.72549,0.41251
1.464,0.77539,1,0.084314,0.72549,0.40665
1.472,0.76953,1,0.084314,0.72549,0.40078
1.48,0.76953,1,0.094118,0.72157,0.39687
1.488,0.76953,1,0.098039,0.72157,0.39296
1.496,0.77539,1,0.10392,0.72157,0.39101
1.504,0.76953,1,0.098039,0.71569,0.39101
1.512,0.76953,1,0.10392,0.71569,0.39296
1.52,0.76953,1,0.10392,0.71569,0.39785
1.528,0.76562,1,0.10392,0.71569,0.40371
1.536,0.76953,1,0.10392,0.71569,0.41056
1.544,0.77539,1,0.10392,0.71569,0.41935
1.552,0.77539,1,0.10392,0.71569,0.42913
1.56,0.77539,1,0.10392,0.71569,0.43988
1.568,0.76953,1,0.10392,0.71569,0.44966
1.576,0.76953,1,0.098039,0.71569,0.45943
1.584,0.76953,1,0.10392,0.71569,0.46725
1.592,0.76953,1,0.10392,0.71569,0.47507
1.6,0.76562,1,0.10392,0.71569,0.48192
1.608,0.76953,1,0.10392,0.71569,0.4868
1.616,0.76953,1,0.10392,0.71569,0.49071
1.624,0.77539,1,0.10392,0.71569,0.49462
1.632,0.77539,1,0.10392,0.71569,0.49756
1.64,0.77539,1,0.10392,0.71569,0.49853
1.648,0.77539,1,0.10392,0.71569,0.49853
1.656,0.7793,1,0.10392,0.71569,0.49756
1.664,0.7793,1,0.1098,0.71569,0.4956
1.672,0.7793,1,0.1098,0.71569,0.49169
1.68,0.7793,1,0.11373,0.7098,0.4868
1.688,0.7793,1,0.11961,0.7098,0.47996
1.696,0.7793,1,0.11961,0.7098,0.47312
1.704,0.7793,1,0.11373,0.71569,0.46725
1.712,0.77539,1,0.11961,0.7098,0.46041
1.72,0.7793,1,0.11961,0.7098,0.45357
1.728,0.7793,1,0.11961,0.7098,0.44575
1.736,0.7793,1,0.11961,0.7098,0.43793
1.744,0.7793,1,0.11373,0.71569,0.43011
1.752,0.7793,1,0.11961,0.7098,0.42326
1.76,0.78516,1,0.11961,0.7098,0.4174
1.768,0.7793,1,0.12941,0.7,0.41349
1.776,0.78516,1,0.14314,0.69608,0.40762
1.784,0.7793,1,0.14902,0.7,0.40274
1.792,0.78516,1,0.1549,0.70588,0.39687
1.8,0.78516,1,0.14902,0.7,0.39003
1.808,0.78906,1,0.14902,0.7098,0.38612
1.816,0.78906,1,0.13333,0.7098,0.38221
1.824,0.79492,1,0.13922,0.7098,0.3783
1.832,0.79883,1,0.12353,0.71569,0.37439
1.84,0.81055,1,0.11961,0.71569,0.37048
1.848,0.81445,0.99804,0.12353,0.72157,0.36657
1.856,0.81055,0.99609,0.12941,0.72157,0.36266
1.864,0.79883,0.98827,0.13333,0.71569,0.35875
1.872,0.78516,0.98045,0.11373,0.71569,0.35386
1.88,0.78516,0.97263,0.10392,0.72157,0.34897
1.888,0.78516,0.96481,0.098039,0.72157,0.34409
1.896,0.77539,0.95699,0.098039,0.72157,0.34018
1.904,0.77539,0.94917,0.094118,0.72157,0.3392
1.912,0.76953,0.94135,0.094118,0.72157,0.33822
1.92,0.77539,0.93451,0.094118,0.72157,0.33724
1.928,0.7793,0.92766,0.094118,0.72157,0.33724
1.936,0.7793,0.9218,0.094118,0.72157,0.33724
1.944,0.75391,0.91593,0.098039,0.71569,0.33724
1.952,0.7207,0.91007,0.10392,0.7098,0.33724
1.96,0.84375,0.90323,0.19412,0.7549,0.33724
1.968,1.1934,0.89638,0.46471,0.79608,0.33627
1.976,1.4336,0.88954,0.58039,0.78627,0.33529
1.984,1.1289,0.8827,0.16863,0.8,0.33529
1.992,0.6543,0.87292,-0.10196,0.55098,0.33529
2,0.64453,0.86413,-0.05098,0.62941,0.33529
2.008,0.74023,0.85337,0.017647,0.70588,0.33529
2.016,0.75,0.84262,0.052941,0.71569,0.33529
2.024,0.74414,0.83187,0.062745,0.71569,0.33431
2.032,0.75,0.82014,0.068627,0.71569,0.33333
2.04,0.75,0.80841,0.078431,0.72157,0.33236
2.048,0.75,0.79668,0.078431,0.71569,0.33138
2.056,0.75,0.78299,0.078431,0.72157,0.3304
2.064,0.75391,0.76931,0.078431,0.72157,0.32845
2.072,0.75,0.75562,0.084314,0.71569,0.32747
2.08,0.75391,0.74096,0.078431,0.72157,0.32551
2.088,0.75977,0.72727,0.078431,0.72157,0.32454
2.096,0.75977,0.71261,0.088235,0.72157,0.32356
2.104,0.75977,0.69892,0.094118,0.72157,0.32258
2.112,0.75977,0.68426,0.084314,0.72157,0.3216
2.12,0.76562,0.6696,0.094118,0.72549,0.32063
2.128,0.76562,0.65494,0.098039,0.72549,0.31867
2.136,0.76953,0.6393,0.10392,0.72549,0.31672
2.144,0.77539,0.62366,0.10392,0.72549,0.31476
2.152,0.7793,0.60704,0.10392,0.72549,0.31281
2.16,0.78516,0.5914,0.10392,0.73137,0.31085
2.168,0.78906,0.5738,0.11373,0.73137,0.30987
2.176,0.79492,0.55718,0.11373,0.73137,0.30792
2.184,0.80469,0.53861,0.12941,0.73137,0.30694
2.192,0.81055,0.52004,0.12941,0.73137,0.30499
2.2,0.82031,0.50049,0.13922,0.73529,0.30401
2.208,0.82031,0.47996,0.13922,0.74118,0.30205
2.216,0.83008,0.45846,0.13922,0.74118,0.3001
2.224,0.83008,0.43793,0.13922,0.74118,0.29814
2.232,0.83008,0.41544,0.14314,0.74118,0.29619
2.24,0.83008,0.39394,0.13922,0.74118,0.29423
2.248,0.83008,0.37146,0.13333,0.74118,0.29326
2.256,0.81445,0.34995,0.12353,0.73137,0.29326
2.264,0.81445,0.32942,0.1098,0.73137,0.29228
