Time [s], RESP, PLETH, I, II, V, ABP
0,-0.1467,0.48876,0.46094,-0.26953,0.97461,43.22
0.008,-0.13447,0.48289,0.45508,-0.25977,0.96484,43.025
0.016,-0.12469,0.47801,0.45508,-0.25977,0.97461,42.634
0.024,-0.11247,0.47312,0.46094,-0.25977,0.96484,42.438
0.032,-0.0978,0.47019,0.46094,-0.24414,0.96484,42.243
0.04,-0.085575,0.46628,0.46094,-0.24414,0.96484,42.047
0.048,-0.07335,0.46237,0.46484,-0.24414,0.96484,41.851
0.056,-0.061125,0.45748,0.46484,-0.24414,0.96875,41.656
0.064,-0.046455,0.45259,0.47461,-0.24023,0.96484,41.46
0.072,-0.031785,0.44673,0.4707,-0.23438,0.97461,41.265
0.08,-0.01467,0.44086,0.48438,-0.23438,0.98047,40.874
0.088,0.002445,0.435,0.48047,-0.23438,0.98438,40.678
0.096,0.01956,0.42815,0.48438,-0.23438,0.98438,40.287
0.104,0.036675,0.42229,0.48438,-0.22852,0.99414,40.091
0.112,0.056235,0.4174,0.49414,-0.22461,1.0039,39.7
0.12,0.07335,0.41544,0.5,-0.22852,1.0137,39.309
0.128,0.090465,0.41349,0.50977,-0.23438,1.0293,38.918
0.136,0.10758,0.41056,0.50977,-0.21875,1.0488,38.722
0.144,0.12714,0.40665,0.51953,-0.21875,1.0547,38.527
0.152,0.14914,0.40176,0.51562,-0.21875,1.0742,38.527
0.16,0.1687,0.39589,0.52539,-0.21484,1.0801,39.309
0.168,0.19071,0.39003,0.52539,-0.21875,1.1094,41.46
0.176,0.21271,0.38416,0.53906,-0.20898,1.1152,45.763
0.184,0.23716,0.3783,0.55078,-0.18945,1.1348,52.608
0.192,0.25917,0.37146,0.55078,-0.17383,1.1387,61.799
0.2,0.27873,0.36559,0.55469,-0.14453,1.1348,72.555
0.208,0.29829,0.35973,0.55078,-0.099609,1.1035,84.289
0.216,0.31785,0.35386,0.55469,-0.054688,1.0703,95.828
0.224,0.33741,0.34995,0.52539,-0.013672,0.99414,106.98
0.232,0.35452,0.34702,0.49023,0.019531,0.91406,117.14
0.24,0.37408,0.34311,0.45508,0.041016,0.83008,125.55
0.248,0.39364,0.3392,0.42578,0.041016,0.75977,131.81
0.256,0.41076,0.33724,0.39453,0.025391,0.70898,135.72
0.264,0.42787,0.33431,0.38086,0.015625,0.67969,137.29
0.272,0.44499,0.3304,0.37109,0,0.66016,136.9
0.28,0.45966,0.32649,0.36523,0,0.6543,134.75
0.288,0.47433,0.32258,0.35938,-0.0039062,0.64453,131.42
0.296,0.489,0.31769,0.36523,-0.0097656,0.65039,127.12
0.304,0.50367,0.31281,0.36523,-0.013672,0.6543,122.23
0.312,0.51834,0.30792,0.36523,-0.013672,0.6543,116.95
0.32,0.53301,0.30499,0.36523,-0.025391,0.6543,111.47
0.328,0.54523,0.30303,0.36523,-0.025391,0.66016,106
0.336,0.5599,0.30108,0.36523,-0.025391,0.66406,100.52
0.344,0.57213,0.29912,0.36523,-0.025391,0.66016,95.437
0.352,0.58435,0.29619,0.37109,-0.035156,0.67578,90.743
0.36,0.59658,0.29326,0.36523,-0.039062,0.66992,86.245
0.368,0.60636,0.28935,0.37109,-0.029297,0.67969,82.529
0.376,0.61858,0.28739,0.36523,-0.039062,0.67969,79.205
0.384,0.62836,0.28641,0.375,-0.044922,0.68555,76.271
0.392,0.63814,0.28543,0.36523,-0.039062,0.68555,73.924
0.4,0.65037,0.28543,0.38086,-0.048828,0.69531,71.969
0.408,0.66259,0.28543,0.375,-0.044922,0.69531,70.404
0.416,0.67482,0.28543,0.37109,-0.048828,0.69922,69.035
0.424,0.6846,0.28543,0.37109,-0.048828,0.69922,67.862
0.432,0.69682,0.28446,0.38086,-0.039062,0.69922,66.884
0.44,0.7066,0.28446,0.375,-0.044922,0.69922,65.906
0.448,0.71883,0.28446,0.38086,-0.035156,0.69922,64.928
0.456,0.73105,0.28543,0.38086,-0.035156,0.69922,64.342
0.464,0.74328,0.28641,0.38477,-0.035156,0.69922,63.755
0.472,0.75795,0.29032,0.38086,-0.044922,0.69922,63.364
0.48,0.77262,0.29912,0.39062,-0.039062,0.69922,62.973
0.488,0.78973,0.31085,0.38477,-0.035156,0.69922,62.973
0.496,0.80685,0.32845,0.38086,-0.029297,0.69922,62.777
0.504,0.82152,0.34995,0.38477,-0.039062,0.69922,62.386
0.512,0.83863,0.37537,0.38086,-0.029297,0.69922,61.995
0.52,0.8533,0.39785,0.39453,-0.0097656,0.70898,61.604
0.528,0.86797,0.42131,0.41992,0.03125,0.72461,61.017
0.536,0.88264,0.44575,0.42578,0.054688,0.74414,60.43
0.544,0.89487,0.47019,0.43945,0.089844,0.75,59.648
0.552,0.90954,0.49365,0.44531,0.10547,0.75391,58.866
0.56,0.92421,0.51417,0.41016,0.085938,0.70508,58.083
0.568,0.93888,0.53177,0.39062,0.064453,0.68555,57.106
0.576,0.95355,0.54643,0.39453,0.044922,0.68555,56.128
0.584,0.96577,0.55914,0.39062,0.015625,0.68945,55.346
0.592,0.978,0.56794,0.39453,0.025391,0.67969,54.172
0.6,0.99022,0.57478,0.42578,0.050781,0.7207,53.39
0.608,1,0.57869,0.42969,0.035156,0.73047,52.412
0.616,1.0098,0.58065,0.41016,0,0.72461,51.63
0.624,1.022,0.58065,0.39062,-0.048828,0.7207,50.847
0.632,1.0318,0.57869,0.39062,-0.064453,0.7207,50.261
0.64,1.0416,0.57576,0.38477,-0.070312,0.71484,49.479
0.648,1.0513,0.57185,0.39062,-0.064453,0.72461,49.087
0.656,1.0611,0.56598,0.38477,-0.054688,0.72461,48.501
0.664,1.0709,0.55914,0.39062,-0.039062,0.7207,47.914
0.672,1.0782,0.5523,0.43945,0.035156,0.75391,47.523
0.68,1.0856,0.54545,0.30078,0.20508,0.30078,47.132
