Time [s], V, RESP, II, AVR, PLETH
0,0.50489,-0.00048864,0.18018,0.62512,2.6686
0.008,0.5,-0.00048864,0.12988,0.65494,2.6237
0.016,0.565,-0.00048864,0.024902,0.72532,2.5758
0.024,0.72532,-0.00048864,0.31494,0.49511,2.523
0.032,0.91544,-0.00048864,1.125,-0.060606,2.4653
0.04,1.1007,-0.00048864,1.5,-0.50049,2.4037
0.048,0.84506,-0.00048864,1.5,-0.4306,2.3382
0.056,0.43011,-0.00048864,1.02,0.094819,2.2688
0.064,0.41984,-0.00048864,0.5752,0.37977,2.1955
0.072,0.56989,-0.00048864,0.36523,0.52493,2.1183
0.08,0.58016,-0.00048864,0.24023,0.60508,2.0401
0.088,0.56989,-0.00048864,0.18506,0.6349,1.9707
0.096,0.565,-0.00048864,0.15527,0.65005,1.9062
0.104,0.56989,-0.00048864,0.13525,0.6652,1.8377
0.112,0.57527,-0.00048864,0.12988,0.6652,1.7703
0.12,0.58016,-0.00048864,0.12988,0.6652,1.7077
0.128,0.58993,-0.00048864,0.13525,0.6652,1.652
0.136,0.6002,-0.00048864,0.14502,0.66031,1.6031
0.144,0.60508,-0.00048864,0.1499,0.65494,1.5611
0.152,0.61486,-0.00048864,0.16016,0.64516,1.5249
0.16,0.62512,0.00048864,0.16992,0.64027,1.4946
0.168,0.63001,0.0017102,0.18018,0.63001,1.4692
0.176,0.64027,0.0048864,0.2002,0.62512,1.4467
0.184,0.65005,0.0080625,0.21484,0.60997,1.4272
0.192,0.66031,0.011239,0.22021,0.60508,1.4125
0.2,0.67498,0.014415,0.24023,0.59531,1.4008
0.208,0.68035,0.017591,0.25,0.58993,1.3871
0.216,0.69013,0.021011,0.27002,0.57527,1.3724
0.224,0.70039,0.024188,0.28027,0.56989,1.3578
0.232,0.71505,0.027608,0.29492,0.565,1.3431
0.24,0.72532,0.030784,0.31982,0.54497,1.3284
0.248,0.73509,0.03396,0.33496,0.54497,1.3148
0.256,0.74536,0.036648,0.35498,0.52493,1.3001
0.264,0.76002,0.039335,0.37012,0.51515,1.2854
0.272,0.77028,0.041534,0.39502,0.5,1.2708
0.28,0.78543,0.043978,0.4248,0.47507,1.2561
0.288,0.79521,0.045688,0.4502,0.46481,1.2454
0.296,0.8001,0.047642,0.47998,0.45015,1.2375
0.304,0.81525,0.049108,0.51514,0.43011,1.2268
0.312,0.81525,0.050818,0.5498,0.41007,1.2151
0.32,0.81036,0.05204,0.58008,0.38514,1.2023
0.328,0.79521,0.053506,0.60498,0.36999,1.1896
0.336,0.77028,0.054483,0.61475,0.3651,1.1779
0.344,0.73509,0.055461,0.58008,0.37977,1.1672
0.352,0.69013,0.054972,0.52002,0.41007,1.1574
0.36,0.64516,0.054483,0.44482,0.45503,1.1486
0.368,0.6002,0.052529,0.36523,0.50489,1.1408
0.376,0.565,0.050574,0.31006,0.54497,1.1329
0.384,0.54497,0.047642,0.26514,0.565,1.1261
0.392,0.52981,0.04471,0.22998,0.59531,1.1232
0.4,0.52004,0.04129,0.20508,0.60997,1.1222
0.408,0.51515,0.03787,0.2002,0.62023,1.1193
0.416,0.52004,0.034693,0.18994,0.62023,1.1173
