Time [s], PLETH, RESP, II, V, AVR, CVP
0,2.0362,0.14488,0.49512,0.24487,0.47021,4.181
0.008,2.0811,0.14977,0.49512,0.41496,0.47998,4.4936
0.016,2.1202,0.15465,0.3999,0.64027,0.46484,4.562
0.024,2.1525,0.16003,0.33008,0.68524,0.41016,4.562
0.032,2.1818,0.16565,0.55518,0.3651,0.31494,4.7476
0.04,2.2053,0.17176,0.73486,0.11975,0.25,5.1188
0.048,2.2209,0.17786,0.75,0.034702,0.34521,5.4314
0.056,2.2336,0.18373,0.69482,0.38514,0.56494,5.3728
0.064,2.2424,0.18959,0.41016,0.71017,0.83008,4.8746
0.072,2.2444,0.19546,0.10986,0.81036,1.04,4.181
0.08,2.2405,0.20132,-0.064941,0.88514,1.125,3.7512
0.088,2.2346,0.20718,0.1499,0.65005,0.84473,3.6828
0.096,2.2248,0.21329,0.4502,0.37977,0.56494,3.8684
0.104,2.2121,0.2194,0.58008,0.29472,0.44482,4.1224
0.112,2.1945,0.22575,0.62012,0.21457,0.37988,4.181
0.12,2.173,0.23113,0.59521,0.12952,0.33496,4.0638
0.128,2.1496,0.2365,0.62012,0.099707,0.29004,3.7512
0.136,2.1222,0.24139,0.66016,0.10948,0.26025,3.5558
0.144,2.089,0.24627,0.66016,0.12463,0.26514,3.5558
0.152,2.0528,0.2514,0.64014,0.12463,0.30029,3.8098
0.16,2.0176,0.25678,0.63477,0.1349,0.31494,3.9368
0.168,1.9873,0.2624,0.64502,0.14956,0.30029,3.8684
0.176,1.9638,0.26826,0.64014,0.17498,0.33008,3.4972
0.184,1.9433,0.27437,0.62012,0.1696,0.35498,3.126
0.192,1.9247,0.28048,0.625,0.17986,0.34521,2.872
0.2,1.9022,0.28659,0.62012,0.1696,0.35986,2.9306
0.208,1.8778,0.29294,0.68506,0.18475,0.28516,2.872
0.216,1.8524,0.29783,0.62988,0.18964,0.3501,2.3054
0.224,1.827,0.30271,0.62012,0.13978,0.31982,1.309
0.232,1.8055,0.30638,0.62988,0.094819,0.28027,0.49821
0.24,1.7889,0.31029,0.61475,0.079668,0.2749,0.3126
0.248,1.7761,0.31346,0.61475,0.07478,0.26025,0.6252
0.256,1.7654,0.31688,0.625,0.099707,0.27002,0.86942
0.264,1.7556,0.31981,0.64014,0.10948,0.25,0.68381
0.272,1.7488,0.32299,0.63477,0.10948,0.23486,0.058613
0.28,1.7429,0.32568,0.70508,0.11975,0.16992,-0.69358
0.288,1.7361,0.32861,0.73486,0.11975,0.14014,-1.1918
0.296,1.7263,0.3313,0.63477,0.1349,0.22998,-1.3188
0.304,1.7146,0.33398,0.62012,0.12952,0.24512,-1.0062
0.312,1.7028,0.33643,0.62012,0.1696,0.24023,-0.43959
0.32,1.6882,0.33912,0.6001,0.19501,0.28516,0.11723
0.328,1.6745,0.34156,0.62012,0.25464,0.30029,0.49821
0.336,1.6628,0.34425,0.63477,0.26979,0.31494,0.68381
0.344,1.651,0.34718,0.7002,0.29472,0.25,0.81081
0.352,1.6383,0.35035,0.72998,0.31476,0.21484,0.9378
0.36,1.6256,0.35353,0.58984,0.24976,0.38525,1.055
0.368,1.608,0.35695,0.54004,0.23998,0.45508,1.182
0.376,1.5934,0.35988,0.50977,0.26002,0.50488,1.3676
0.384,1.5816,0.36306,0.54004,0.30499,0.51514,1.4946
0.392,1.567,0.36575,0.58008,0.30987,0.43018,1.6216
0.4,1.5513,0.36868,0.60986,0.26002,0.35498,1.8072
0.408,1.5367,0.37063,0.6001,0.21457,0.33496,1.9928
0.416,1.523,0.37283,0.6499,0.24976,0.31006,2.3054
0.424,1.5093,0.3743,0.72998,0.28983,0.24023,2.618
0.432,1.5005,0.37576,0.68506,0.27468,0.28516,3.126
0.44,1.4936,0.37625,0.5752,0.2346,0.41016,3.6828
0.448,1.4858,0.37699,0.5249,0.19501,0.45508,4.308
0.456,1.48,0.37674,0.51514,0.16471,0.44482,4.6206
0.464,1.477,0.3765,0.5498,0.18964,0.41992,4.562
0.472,1.478,0.37552,0.58984,0.1999,0.36523,4.308
0.48,1.478,0.37479,0.60986,0.18964,0.33496,4.2494
0.488,1.4761,0.37332,0.60498,0.20479,0.33496,4.689
0.496,1.4751,0.3721,0.61475,0.24976,0.39014,5.3728
0.504,1.4702,0.3699,0.6499,0.28495,0.40479,5.998
0.512,1.4643,0.36795,0.66992,0.28495,0.3252,6.3692
0.52,1.4565,0.36526,0.64014,0.26491,0.31982,6.4376
0.528,1.4487,0.36257,0.61475,0.24487,0.34521,6.3106
0.536,1.4448,0.36013,0.62012,0.26491,0.33984,6.125
0.544,1.4428,0.35793,0.6001,0.25464,0.33496,6.0566
0.552,1.4457,0.35597,0.59521,0.24976,0.37988,6.0566
0.56,1.4585,0.35426,0.64502,0.23998,0.33984,6.1836
0.568,1.48,0.3528,0.62988,0.23998,0.35498,6.3692
0.576,1.5054,0.35158,0.625,0.22483,0.3501,6.6818
0.584,1.5376,0.35035,0.62012,0.23998,0.36523,6.9358
0.592,1.5816,0.34938,0.63477,0.24976,0.35986,6.9944
0.6,1.6344,0.3484,0.59521,0.26002,0.3999,6.9358
0.608,1.6901,0.34742,0.58496,0.26491,0.41992,6.8674
0.616,1.7498,0.34669,0.58984,0.22972,0.39014,7.18
0.624,1.8143,0.3462,0.5752,0.23998,0.37988,7.8736
0.632,1.8817,0.34669,0.58008,0.22483,0.375,8.6844
0.64,1.9472,0.34718,0.5752,0.21457,0.36523,9.5636
0.648,2.0078,0.3484,0.56494,0.22972,0.38525,10.306
0.656,2.0626,0.34987,0.56982,0.21457,0.40479,10.873
0.664,2.1114,0.35158,0.56494,0.29472,0.4502,11.312
0.672,2.1505,0.35329,0.50977,0.40469,0.47998,11.556
0.68,2.1857,0.355,0.33496,0.58993,0.5498,11.683
0.688,2.2199,0.35695,0.26025,0.6652,0.47021,11.625
0.696,2.2502,0.35891,0.45996,0.42473,0.31494,11.683
0.704,2.2766,0.36086,0.64502,0.15982,0.30029,11.81
0.712,2.2942,0.36281,0.73975,0.0097752,0.25488,11.996
0.72,2.303,0.36501,0.75977,0.28495,0.43994,12.064
0.728,2.3069,0.36746,0.47021,0.66031,0.71973,11.937
0.736,2.3069,0.37014,0.16992,0.83529,1,11.81
0.744,2.3021,0.37308,-0.034668,0.96041,1.165,11.752
0.752,2.2952,0.37601,0.16504,0.77028,0.92969,11.752
0.76,2.2874,0.3787,0.44482,0.41496,0.56982,11.625
0.768,2.2776,0.38163,0.62012,0.2346,0.31982,11.244
0.776,2.2639,0.38431,0.65479,0.1696,0.27002,10.814
0.784,2.2463,0.387,0.62988,0.14956,0.30029,10.374
0.792,2.2229,0.38993,0.66992,0.16471,0.26514,9.9935
0.8,2.1916,0.39311,0.66504,0.17498,0.28516,9.8762
0.808,2.1544,0.39653,0.63477,0.16471,0.33984,9.9348
0.816,2.1183,0.39995,0.60498,0.20479,0.41016,10.062
0.824,2.087,0.40313,0.61475,0.22483,0.43018,10.12
0.832,2.0606,0.4063,0.63477,0.22972,0.35986,10.062
0.84,2.0303,0.40924,0.66504,0.15494,0.25,9.8078
0.848,2.002,0.41217,0.6748,0.11486,0.21484,9.8078
0.856,1.9834,0.41534,0.66016,0.13978,0.25,10.247
0.864,1.9638,0.41876,0.66504,0.16471,0.26025,11
0.872,1.9453,0.42218,0.66504,0.1696,0.26514,11.498
0.88,1.9296,0.42585,0.66016,0.15494,0.26514,11.185
0.888,1.913,0.42951,0.69482,0.1696,0.23486,10.062
0.896,1.8964,0.43342,0.6748,0.19501,0.28027,8.87
0.904,1.8788,0.43733,0.6499,0.21457,0.33496,8.4305
0.912,1.8622,0.44124,0.68506,0.21457,0.29492,8.997
0.92,1.8446,0.44466,0.68018,0.18475,0.25,9.9348
0.928,1.827,0.44833,0.68994,0.12952,0.18994,10.501
0.936,1.8074,0.45126,0.7002,0.10948,0.16016,10.189
0.944,1.7898,0.45443,0.70508,0.12463,0.15527,9.3683
0.952,1.7771,0.45712,0.68994,0.11975,0.16992,8.7431
0.96,1.7644,0.46005,0.72998,0.1696,0.125,8.6258
0.968,1.7507,0.4625,0.70996,0.20479,0.1499,9.0557
0.976,1.74,0.46518,0.71484,0.21994,0.19531,9.5636
0.984,1.7302,0.46689,0.63477,0.22972,0.28027,9.8078
0.992,1.7214,0.46885,0.62012,0.24487,0.31006,9.6809
1,1.7107,0.47007,0.63477,0.28495,0.31494,9.3683
1.008,1.6979,0.47154,0.65479,0.28983,0.31006,9.3096
1.016,1.6872,0.47227,0.66504,0.29472,0.29492,9.5636
1.024,1.6784,0.47325,0.6748,0.27468,0.29004,10.062
1.032,1.6696,0.47374,0.64014,0.26002,0.33496,10.687
1.04,1.6608,0.47447,0.66992,0.27468,0.30518,11.127
1.048,1.652,0.47471,0.68018,0.28983,0.29004,11.439
1.056,1.6432,0.4752,0.72998,0.30499,0.23486,11.683
1.064,1.6344,0.4752,0.6001,0.26002,0.36523,11.869
1.072,1.6276,0.47545,0.56494,0.24976,0.41504,11.937
1.08,1.6227,0.47545,0.56982,0.24487,0.4248,11.869
1.088,1.6158,0.47545,0.56982,0.26491,0.41992,11.752
1.096,1.608,0.47545,0.6001,0.26979,0.39502,11.625
1.104,1.5992,0.47569,0.63477,0.28006,0.36523,11.625
1.112,1.5904,0.47667,0.64014,0.26979,0.3501,11.869
1.12,1.5816,0.47764,0.64014,0.27468,0.33984,12.309
1.128,1.5738,0.47935,0.64502,0.24487,0.31494,12.875
1.136,1.5679,0.48107,0.63477,0.23998,0.29492,13.119
1.144,1.565,0.48326,0.68018,0.23998,0.26514,13.002
1.152,1.5611,0.48571,0.66504,0.25464,0.2749,12.563
1.16,1.5543,0.48839,0.68994,0.26979,0.26025,12.182
1.168,1.5494,0.49108,0.64502,0.26002,0.31982,12.182
1.176,1.5445,0.49377,0.59521,0.24487,0.375,12.377
1.184,1.5376,0.49646,0.58008,0.29472,0.40479,12.69
1.192,1.5455,0.4989,0.64502,0.32991,0.35986,12.807
1.2,1.5601,0.50159,0.66504,0.34995,0.36523,12.563
1.208,1.565,0.50501,0.66504,0.32502,0.3501,12.182
1.216,1.5699,0.50843,0.66992,0.30499,0.31006,11.869
1.224,1.5806,0.51258,0.68506,0.26002,0.28516,11.752
1.232,1.6041,0.51674,0.68994,0.23998,0.2749,11.937
1.24,1.6422,0.5204,0.625,0.22483,0.33496,12.182
1.248,1.6931,0.52431,0.61475,0.23998,0.34521,12.436
1.256,1.7537,0.52773,0.58984,0.2346,0.37012,12.494
1.264,1.8221,0.53115,0.6001,0.24487,0.375,12.377
1.272,1.8895,0.53457,0.625,0.24976,0.33008,12.309
1.28,1.9541,0.53799,0.6001,0.26491,0.375,12.309
1.288,2.0254,0.54141,0.58984,0.26979,0.39502,12.436
1.296,2.0958,0.54508,0.6001,0.27468,0.38525,12.748
1.304,2.1613,0.54776,0.58496,0.25464,0.37012,13.246
1.312,2.2248,0.55045,0.58496,0.23998,0.38525,13.813
1.32,2.2845,0.55216,0.59521,0.25464,0.37988,14.37
1.328,2.3363,0.55412,0.5498,0.3651,0.4248,14.809
1.336,2.3793,0.55534,0.41504,0.56012,0.49512,15.063
1.344,2.4184,0.5568,0.29492,0.73509,0.50488,15.122
1.352,2.4526,0.55754,0.39502,0.55523,0.34521,15.122
1.36,2.4829,0.55851,0.6001,0.32502,0.31982,15.063
1.368,2.5054,0.559,0.68506,0.11486,0.33984,14.995
1.376,2.523,0.55949,0.7251,0.26491,0.4502,14.809
1.384,2.5425,0.55974,0.51514,0.6349,0.65479,14.438
1.392,2.5611,0.55998,0.18994,0.90029,0.96484,13.872
1.4,2.5748,0.56047,-0.064941,0.98045,1.145,13.305
1.408,2.5816,0.5612,0.16504,0.70528,0.85986,13.002
1.416,2.5806,0.56194,0.4751,0.38514,0.5249,12.934
1.424,2.5709,0.56267,0.61475,0.2346,0.34521,12.934
1.432,2.5582,0.56316,0.68994,0.21457,0.28027,12.934
1.44,2.5425,0.56389,0.70996,0.17498,0.24512,12.69
1.448,2.522,0.56413,0.70508,0.17986,0.25488,12.309
1.456,2.4936,0.56438,0.70996,0.18964,0.26025,12.123
1.464,2.4604,0.56487,0.7251,0.18964,0.22998,12.064
1.472,2.4242,0.5656,0.68018,0.1696,0.29492,12.182
1.48,2.3861,0.56633,0.66504,0.1999,0.33008,12.25
1.488,2.346,0.56731,0.68994,0.20968,0.27002,12.123
1.496,2.306,0.56829,0.68018,0.16471,0.25488,11.869
1.504,2.2708,0.56951,0.71973,0.1999,0.26025,11.683
1.512,2.2395,0.57073,0.73486,0.21457,0.21484,11.752
1.52,2.2111,0.57195,0.68994,0.18475,0.26514,11.996
1.528,2.1838,0.57269,0.6748,0.16471,0.2749,12.436
1.536,2.1574,0.57366,0.72998,0.23998,0.24512,12.436
1.544,2.1329,0.57391,0.66016,0.19501,0.30518,11.937
1.552,2.1124,0.5744,0.70996,0.17986,0.23486,11.185
1.56,2.0938,0.5744,0.75488,0.1999,0.18506,10.687
1.568,2.0772,0.57464,0.66992,0.1696,0.27002,10.746
1.576,2.0626,0.57464,0.65479,0.14467,0.28516,11.312
1.584,2.0469,0.57464,0.66504,0.11486,0.22998,11.869
1.592,2.0303,0.5744,0.69482,0.12952,0.18506,12.064
1.6,2.0137,0.5744,0.70996,0.14467,0.16992,11.683
1.608,1.9961,0.57415,0.73486,0.16471,0.1499,10.931
1.616,1.9785,0.57391,0.75488,0.20479,0.1499,10.306
1.624,1.9609,0.57342,0.75977,0.24487,0.2002,10.247
1.632,1.9433,0.57317,0.73486,0.26002,0.18994,10.619
1.64,1.9267,0.57269,0.72998,0.21994,0.16504,11.185
1.648,1.9091,0.5722,0.72998,0.21994,0.14502,11.498
1.656,1.8915,0.57171,0.70996,0.23998,0.19531,11.498
1.664,1.8759,0.57122,0.71484,0.26979,0.2251,11.244
