Time [s], RESP, ABP, PLETH, II, III, V
0,-0.26817,73.755,2.176,0.65479,0.44482,0.67009
0.008,-0.26573,73.51,2.1359,0.6499,0.4502,0.67498
0.016,-0.26329,73.217,2.0968,0.60986,0.44482,0.73509
0.024,-0.26084,72.875,2.0547,0.58496,0.39502,0.76002
0.032,-0.25779,72.387,2.0088,0.62988,0.31494,0.76002
0.04,-0.25473,71.85,1.9619,0.85986,0.31006,0.68524
0.048,-0.25107,71.312,1.914,1.1997,0.50977,0.50978
0.056,-0.2474,70.677,1.869,1.2646,0.54492,0.37977
0.064,-0.24313,70.091,1.827,1.0898,0.7002,0.39492
0.072,-0.23885,69.505,1.781,0.9751,0.81982,0.37488
0.08,-0.23458,68.919,1.7341,0.81982,0.66504,0.45015
0.088,-0.2303,68.382,1.6882,0.70996,0.54004,0.58504
0.096,-0.22602,67.844,1.6432,0.6499,0.4751,0.68035
0.104,-0.22236,67.405,1.6012,0.62988,0.4502,0.71017
0.112,-0.21808,66.965,1.563,0.60986,0.43018,0.71994
0.12,-0.21503,66.526,1.5269,0.60498,0.4248,0.72532
0.128,-0.21136,66.184,1.4936,0.59521,0.41016,0.73509
0.136,-0.20831,65.793,1.4663,0.58984,0.40479,0.73021
0.144,-0.20525,65.353,1.4448,0.60498,0.39502,0.73509
0.152,-0.2022,65.012,1.4321,0.58984,0.39014,0.73509
0.16,-0.19914,64.621,1.4252,0.59521,0.3999,0.73509
0.168,-0.1967,64.279,1.4233,0.58984,0.37988,0.73509
0.176,-0.19365,63.986,1.4262,0.60498,0.37988,0.73509
0.184,-0.1912,63.693,1.4321,0.58984,0.35986,0.73509
0.192,-0.18876,63.448,1.4428,0.60498,0.35986,0.73509
0.2,-0.18693,63.155,1.4565,0.60498,0.35498,0.73021
0.208,-0.18448,63.009,1.4712,0.60498,0.35986,0.73021
0.216,-0.18204,62.667,1.4858,0.6001,0.35498,0.73021
0.224,-0.17899,62.423,1.5005,0.58496,0.3252,0.73509
0.232,-0.17593,62.179,1.5142,0.56006,0.31006,0.73509
0.24,-0.17227,61.934,1.5269,0.56494,0.30518,0.73021
0.248,-0.16677,61.788,1.5386,0.54004,0.29004,0.73509
0.256,-0.16127,61.739,1.5484,0.5498,0.29492,0.73021
0.264,-0.15455,61.983,1.5582,0.52979,0.29004,0.73509
0.272,-0.14783,63.009,1.566,0.53516,0.29004,0.73021
0.28,-0.14172,65.256,1.5728,0.52002,0.29004,0.73509
0.288,-0.135,69.163,1.5787,0.51514,0.29492,0.73509
0.296,-0.12889,74.634,1.5836,0.5249,0.29492,0.73509
0.304,-0.12217,80.788,1.5875,0.51514,0.29004,0.72532
0.312,-0.11423,86.991,1.5885,0.54004,0.30518,0.71994
0.32,-0.10629,92.853,1.5865,0.53516,0.31006,0.71505
0.328,-0.097129,98.372,1.5826,0.56494,0.31982,0.71505
0.336,-0.087966,103.35,1.5787,0.58496,0.3252,0.71505
0.344,-0.078803,107.8,1.5738,0.60498,0.34521,0.71505
0.352,-0.06964,111.22,1.5689,0.61475,0.3501,0.71505
0.36,-0.061087,113.51,1.564,0.63477,0.37012,0.71505
0.368,-0.052535,114.34,1.5572,0.64014,0.375,0.71017
0.376,-0.043372,113.86,1.5484,0.65479,0.38525,0.70528
0.384,-0.033598,112.19,1.5386,0.65479,0.38525,0.70528
0.392,-0.023824,109.56,1.5288,0.66992,0.3999,0.70039
0.4,-0.01405,106.48,1.5191,0.66504,0.41016,0.69501
0.408,-0.0042761,103.26,1.5093,0.6748,0.41016,0.69013
0.416,0.0054979,99.984,1.5015,0.66016,0.40479,0.69013
0.424,0.015272,96.858,1.4917,0.6748,0.41016,0.69013
0.432,0.025046,93.878,1.4829,0.65479,0.40479,0.69501
0.44,0.034209,91.094,1.4751,0.65479,0.40479,0.69501
0.448,0.043372,88.506,1.4692,0.6499,0.41016,0.69013
0.456,0.051924,86.161,1.4663,0.65479,0.40479,0.69013
0.464,0.060476,84.012,1.4643,0.64502,0.40479,0.69501
0.472,0.068418,81.912,1.4633,0.6499,0.41016,0.69501
0.48,0.07697,80.007,1.4633,0.63477,0.3999,0.70039
0.488,0.084911,78.102,1.4633,0.64014,0.3999,0.69013
0.496,0.092853,76.343,1.4633,0.62988,0.3999,0.70039
0.504,0.099572,74.731,1.4633,0.63477,0.40479,0.69501
0.512,0.1069,73.315,1.4604,0.64014,0.41016,0.69501
0.52,0.11301,71.996,1.4545,0.62988,0.3999,0.70039
0.528,0.11973,70.873,1.4467,0.64014,0.39502,0.70039
0.536,0.12523,69.994,1.4379,0.63477,0.3999,0.70528
0.544,0.13134,69.31,1.4291,0.64502,0.39502,0.71017
0.552,0.13684,68.821,1.4262,0.64014,0.38525,0.71994
0.56,0.14233,68.479,1.433,0.6499,0.38525,0.73509
0.568,0.14722,68.284,1.4545,0.64014,0.375,0.73509
0.576,0.15272,68.382,1.4936,0.62988,0.36523,0.73509
0.584,0.15761,68.528,1.5533,0.62988,0.35986,0.71505
0.592,0.16249,68.919,1.6344,0.66504,0.37988,0.69013
0.6,0.16738,69.407,1.7331,0.66504,0.3999,0.6652
0.608,0.17227,70.091,1.8426,0.66992,0.41504,0.65005
0.616,0.17715,70.873,1.9531,0.63477,0.41016,0.64027
0.624,0.18204,71.654,2.0567,0.6499,0.41992,0.64027
0.632,0.18693,72.485,2.1486,0.64014,0.43018,0.65005
0.64,0.19181,73.217,2.2239,0.64502,0.43018,0.64516
0.648,0.19731,73.999,2.2757,0.62988,0.41992,0.65005
0.656,0.20281,74.634,2.3089,0.625,0.4248,0.65005
0.664,0.2077,75.171,2.3333,0.60498,0.41504,0.6652
0.672,0.21258,75.611,2.3431,0.61475,0.4248,0.6652
0.68,0.21747,75.904,2.3372,0.60986,0.41504,0.67498
0.688,0.22297,76.099,2.3196,0.625,0.41992,0.67498
0.696,0.22969,76.197,2.2923,0.62988,0.41016,0.67498
0.704,0.23702,76.099,2.2581,0.61475,0.41504,0.67498
0.712,0.24557,75.904,2.218,0.625,0.41016,0.68035
0.72,0.25473,75.66,2.176,0.62012,0.41504,0.68035
0.728,0.26573,75.318,2.1329,0.58984,0.41016,0.73021
0.736,0.27673,74.878,2.088,0.56006,0.37012,0.78006
0.744,0.28955,74.292,2.0401,0.59521,0.30029,0.78006
0.752,0.30238,73.803,1.9961,0.81006,0.3501,0.71505
0.76,0.31399,73.168,1.956,1.1748,0.52979,0.53519
0.768,0.32621,72.631,1.914,1.2749,0.6001,0.34995
0.776,0.33781,71.996,1.869,1.1499,0.68994,0.28006
0.784,0.34942,71.41,1.8221,1.0049,0.81982,0.26979
0.792,0.36164,70.824,1.7732,0.86475,0.68994,0.41007
0.8,0.37447,70.287,1.7243,0.73486,0.55518,0.565
0.808,0.38729,69.749,1.6784,0.66504,0.48486,0.67009
0.816,0.40012,69.261,1.6383,0.62012,0.43994,0.71017
0.824,0.41173,68.821,1.6012,0.60498,0.41992,0.71994
0.832,0.42334,68.284,1.5679,0.58496,0.3999,0.73509
0.84,0.43372,67.844,1.5386,0.58984,0.39502,0.73998
0.848,0.44411,67.503,1.5171,0.5752,0.38525,0.74536
0.856,0.45449,67.112,1.5015,0.58008,0.38525,0.75024
0.864,0.46487,66.721,1.4868,0.56982,0.37988,0.75513
0.872,0.47526,66.428,1.4761,0.58496,0.375,0.75513
0.88,0.48564,66.184,1.4702,0.58008,0.35986,0.75513
0.888,0.49542,65.842,1.4712,0.58496,0.35986,0.75024
0.896,0.5058,65.598,1.478,0.59521,0.35986,0.75024
0.904,0.51497,65.353,1.4888,0.6001,0.35986,0.75024
0.912,0.52474,65.109,1.5015,0.60498,0.34521,0.75024
0.92,0.53207,64.865,1.5171,0.58496,0.33984,0.75024
0.928,0.54001,64.67,1.5337,0.6001,0.34521,0.74536
0.936,0.54612,64.474,1.5503,0.58496,0.33008,0.75513
0.944,0.55284,64.279,1.567,0.58496,0.3252,0.75024
0.952,0.55895,64.035,1.5816,0.5752,0.31006,0.74536
0.96,0.56567,63.937,1.5953,0.56494,0.30518,0.75024
0.968,0.57239,63.937,1.608,0.55518,0.30029,0.75024
